distance,mean_of_medians,sd_of_medians,n_datasets,se_of_medians
53,4.7417443707186,3.350508132092605,560,0.14158481016702798
54,4.74995958780221,3.3802163843337074,560,0.14284021295613378
55,4.758424190560767,3.362956197673122,560,0.14211083694645366
56,4.691975865108373,3.3104772620951417,560,0.13989319716208598
57,4.805201027843564,3.41532579482759,560,0.14432385633912953
58,4.732030515304043,3.3213468086334768,560,0.14035251933727813
59,4.885272383514929,3.4544700169425573,560,0.14597800163255464
60,4.978522971330866,3.621433038550501,560,0.1530334770372688
61,4.946992778869964,3.4565630026516136,560,0.1460664464214094
62,5.035735391229554,3.5638687872379258,560,0.15060094344141456
63,5.073214563823296,3.421383149193567,560,0.1445798262798697
64,5.110054383921086,3.557758964058021,560,0.15034275628860783
65,5.054993370354573,3.519955658021025,560,0.14874527504160923
66,5.160279163457565,3.634528087996662,560,0.15358684387503396
67,5.043918531101581,3.421628524403515,560,0.14459019527500433
68,5.160159654690386,3.5864417024269346,560,0.1515548232070954
69,5.230904574999728,3.632106818958404,560,0.15348452658355766
70,5.257022389787174,3.7310732505695756,560,0.15766662162113168
71,5.4265096301457865,3.6297105321299994,560,0.15338326498312885
72,5.440495360668332,3.5662400950821986,560,0.15070114948710747
73,5.511203013186864,3.7447159584250356,560,0.1582431312506347
74,5.509971754775546,3.6534365773116724,560,0.15438587338478743
75,5.585658807108798,3.6735054238200635,560,0.15523393693549048
76,5.662471680218663,3.7989303687106943,560,0.16053410822666078
77,5.744036019732248,3.792954620472197,560,0.16028158677421317
78,5.742596078970651,3.7563856031412803,560,0.1587362637447899
79,5.663043119677763,3.64652873190137,560,0.15409396363781125
80,5.8089719718189174,3.8441433249797567,560,0.1624447043446434
81,5.934076269798402,3.9883255542918636,560,0.1685375155726119
82,6.088745529545591,4.001061041791643,560,0.16907568814493593
83,6.180077798332861,4.096110579005621,560,0.17309226418425439
84,6.307702155664359,4.035277237839529,560,0.1705215863284607
85,6.458460928169295,4.363151604626718,560,0.18437680713379126
86,6.4670766683818695,4.2325631455007935,560,0.17885843754135544
87,6.505002369252078,4.237168565678227,560,0.179053052064244
88,6.6580139927885735,4.31253090155497,560,0.18223769200486944
89,6.64858619556815,4.402218180882125,560,0.18602767129078793
90,6.6617711141544,4.261713535178654,560,0.18009026633451736
91,6.887768282886332,4.606088165906325,560,0.19464275055351998
92,6.982105108874352,4.5923771775898246,560,0.19406335554790885
93,7.031506344909137,4.545678874620414,560,0.19208999207574892
94,7.134008462087943,4.765242641009584,560,0.20136825464315014
95,7.214257129413235,4.96070248637897,560,0.20962794064027593
96,7.373161224882022,4.9457931106965125,560,0.20899790452560715
97,7.299892404949441,4.70836409006537,560,0.1989646971764854
98,7.313411797549895,4.986193941666909,560,0.21070515123506703
99,7.2741899796968585,4.634015399024519,560,0.19582289154815183
100,7.312524858211742,4.945505715938219,560,0.20898575988046922
101,7.310517362049647,4.739380953033559,560,0.20027539886178022
102,7.452583354595851,4.737730725293998,560,0.20020566401201215
103,7.333341630054898,4.786069584637259,560,0.20224835364414617
104,7.471392639744452,5.017922324974607,560,0.21204592014247495
105,7.425738827946855,4.982771586703144,560,0.2105605303421262
106,7.604099470007067,5.153308442726372,560,0.217767027814929
107,7.587650602537964,4.868043151327203,560,0.2057123690773101
108,7.485459294071757,4.8549337149674585,560,0.20515839428148355
109,7.527070944070029,4.875976301165959,560,0.20604760584429127
110,7.570465253888675,5.154876866313332,560,0.21783330580831575
111,7.3597442580548655,4.910948467108038,560,0.20752544958644223
112,7.498792384404877,5.0021923932752586,560,0.21138120920736028
113,7.623541901678642,5.107464200107704,560,0.21582975497973028
114,7.558972634546772,4.846582575220614,560,0.20480549421703964
115,7.708253751157999,5.074365492924307,560,0.2144310793196272
116,7.563755618393728,5.038328302042615,560,0.21290823005952095
117,7.722953988698597,5.293432148010001,560,0.22368833510036815
118,7.742466868341064,5.111966325657448,560,0.2160200045079147
119,7.8383007728826914,5.41201702791228,560,0.22869946089016222
120,7.5346042828314195,4.947194519890335,560,0.20905712487274586
121,7.926399454006924,5.348636542455628,560,0.2260211465426398
122,7.956288939403478,5.277800920783971,560,0.22302779519053276
123,7.782041846766906,5.36594772579186,560,0.2267526775551899
124,7.832612690954379,5.6636623686803995,560,0.2393334174118014
125,7.766845529024876,5.5299261444252625,560,0.23368203046477362
126,7.662581255168685,5.145805980867464,560,0.21744999093687922
127,7.719102442814871,5.311323015159769,560,0.22444436222498862
128,7.504772148246541,5.282119063448583,560,0.22321027002280885
129,7.874492272356533,5.262869949084506,560,0.2223968464775811
130,7.854888341007563,5.714444024780088,560,0.24147933404754196
131,7.6231702687503455,5.570132414716798,560,0.23538105548495636
132,7.695671191835572,5.809783063755957,560,0.24550814376915117
133,7.811203283011776,5.8544426457683025,560,0.24739535555675773
134,7.480738422026044,5.446918010057376,560,0.2301742965678688
135,7.6611125875214965,5.294805566524139,560,0.22374637262540548
136,7.334916490373168,5.299149811364189,560,0.22392995047591302
137,7.39940914143133,5.265312864831112,560,0.22250007850944045
138,7.610286609678383,5.678824928901373,560,0.23997415252596804
139,7.6328976414462435,5.367958112843098,560,0.22683763191369014
140,7.157777091249578,5.200750277424638,560,0.21977181123729728
141,7.325993014848417,5.48423501380582,560,0.2317512277924547
142,7.164018789991484,5.007545420606715,560,0.2116074158986032
143,7.248509000791013,5.590599496056206,560,0.23624594752875017
144,6.991555998610165,4.8047167846925625,560,0.20303634166742185
145,7.157176619576696,4.985896542444772,560,0.21069258382416994
146,7.413247161749621,6.01206284192896,560,0.25405602452757386
147,7.011510655007075,5.0237778152579375,560,0.21229335976879887
148,7.207851941626931,5.3903522542747675,560,0.22778395710928853
149,7.185940465263356,5.060972029027507,560,0.21386510216973056
150,7.619574613925522,5.491606373281234,560,0.23206272458364366
151,7.207946179160902,5.84209715887048,560,0.24687366351783824
152,7.333964613172852,6.002789121464247,560,0.2536641383121781
153,7.176433760824358,5.494061179155183,560,0.2321664590650887
154,7.004305764170186,5.2410457100038,560,0.22147460405181754
155,7.160155246366712,5.477924925968586,560,0.23148457791328722
156,7.106564784488002,5.040750141373271,560,0.2130105714502496
157,7.125336895337757,5.5405896493823175,560,0.23413264579401227
158,7.2000704148345,5.929971081278184,560,0.25058701448796594
159,7.482594780734122,6.862311135203297,560,0.2899855726593971
160,7.423040597761589,5.733780139416581,560,0.24229643402528953
161,7.201618839412046,5.859572739756162,560,0.24761214159480757
162,7.858842841663428,7.359131970712308,560,0.31098008480780803
163,7.778399722885081,6.908325874908467,560,0.2919300503114996
164,7.192834939107144,6.538667438324723,560,0.2763091302877475
165,6.971619142373352,5.0696997186545625,560,0.21423391437084335
166,7.400279712574929,5.691279566993629,560,0.24050045704470674
167,7.0310943518545255,5.505824536643977,560,0.23266355164666602
168,7.772380162235779,6.480395059797948,560,0.27384667285549474
169,7.610100352381868,6.4118705351208485,560,0.2709509831762898
170,7.950187426537801,6.544812381967372,560,0.27656880155098007
171,7.24666235222944,5.699431863153606,560,0.24084495443397735
172,7.53226001559304,6.2882748486031925,560,0.26572811215996534
173,7.8360097783128,6.731933775846518,560,0.2844761236603646
174,7.4663761129685895,6.960237653776615,560,0.2941237233505467
175,7.81482261378919,6.605898180499155,560,0.27915014767761137
176,8.014137889287525,6.981752205887773,560,0.29503287911331283
177,7.779401543729861,6.295868032141243,560,0.2660489827286712
178,7.484439991412941,6.28372618992552,560,0.2655358962482282
179,8.310300399151519,7.46396500084891,560,0.3154100888806096
180,8.205856020716872,7.379763300153913,560,0.31185191760072195
181,8.211568772689553,6.883119213006586,560,0.2908648744338057
182,7.743267793887851,5.947746887704888,560,0.2513381794096039
183,7.4221007064678926,6.149443187349,560,0.2598614036999649
184,7.97282997338201,6.876685467783526,560,0.2905929990763503
185,8.081940358280146,6.817036318909978,560,0.28807236247827966
186,8.155999591238928,7.4102000680467315,560,0.3131381057949619
187,7.8109010294057075,6.592369619460814,560,0.27857846163151595
188,7.56399468326579,6.45830581457772,560,0.2729132318764139
189,8.194829407933137,7.841679937038804,560,0.33137145815037955
190,8.31766195411935,7.252923958934806,560,0.30649197715580745
191,8.18260570390929,7.927468099022996,560,0.3349966696556935
192,8.011243279821214,7.198617034266915,560,0.3041970907335929
193,8.136611587275816,6.71087442687019,560,0.2835862037409068
194,8.308420416562326,7.539054852726854,560,0.31858321427068853
195,8.239000608762872,8.650440297551164,560,0.36554782113751905
196,8.921108354347329,7.8320157728219675,560,0.3309630726750668
197,8.544910089132163,7.7334953745345585,560,0.3267998259855593
198,8.499156793599564,8.01767121277081,560,0.33880844692437984
199,7.9375791711262735,7.137834914217167,560,0.30162857736501975
200,8.61590236077863,7.790471341168771,560,0.329207500016468
201,8.445501490900984,7.936576626788828,560,0.3353815752054738
202,8.3887859867142,7.695946840231857,560,0.32521311080932186
203,9.012677689172117,7.943853119099002,560,0.33568906312724595
204,8.965760079025562,8.762296304783026,560,0.37027460015896674
205,8.798466025256559,8.021457063332937,560,0.3389684283098972
206,8.73602903529073,7.75058314459644,560,0.32752191606414033
207,8.860080552203783,7.696767025137715,560,0.3252477699474644
208,8.71615708022936,7.897757019246884,560,0.3337411473814255
209,8.617150856031369,7.743591301610611,560,0.32722645677174694
210,8.854331895766164,7.836108297094447,560,0.33113601339014015
211,8.61779018130814,7.358097870779483,560,0.3109363861099059
212,8.920061542565353,8.061412269066988,560,0.3406568439161315
213,8.810412331519194,8.469981554802242,560,0.3579220474256586
214,9.037536904473933,8.721046309672953,560,0.36853146971522627
215,8.772794363594276,8.01702983616699,560,0.3387813438160997
216,8.657649362290122,7.281115452546352,560,0.3076832851944549
217,8.696321882895042,7.418944142457768,560,0.3135076103795694
218,8.354518890347416,7.767348892085236,560,0.32823039820533334
219,8.930537177612484,8.726063420791515,560,0.36874348135564117
220,8.677341389105985,8.376505845701084,560,0.3539719777626281
221,8.66235028741087,7.309662146554898,560,0.3088896031894427
222,9.276237333022166,11.083330565560164,560,0.46835619920228944
223,8.806152650603721,9.186386168556368,560,0.3881956677967305
224,9.3096926362888,8.55264510121587,560,0.36141521982377983
225,9.471222764843802,11.872869270717297,560,0.5017202989991092
226,8.86733131445916,7.77955619221388,560,0.3287462507874569
227,8.5060180186236,7.4865295533676255,560,0.3163636152589715
228,9.184864652037106,9.676068707987563,560,0.40888853188005747
229,9.198252294340163,10.273552667518631,560,0.43413683740654363
230,8.435283435685339,7.231043999409755,560,0.30556738011151313
231,9.061732819135415,8.384020772806164,560,0.35428954139346974
232,9.47850550845191,10.109015324638237,560,0.4271838656366891
233,8.625917169195843,8.461148988464073,560,0.35754880337461475
234,9.793907197271833,10.774410171317397,560,0.4553019299239552
235,9.55509425528561,9.315745912914528,560,0.39366211471347506
236,9.149668146127706,9.994771793782448,560,0.4223561953277902
237,8.92359182875491,9.068887877965148,560,0.38323045878590567
238,9.575234935840843,9.74163144623781,560,0.41165906323924983
239,8.59193657244728,8.372103322902186,560,0.3537859372188767
240,8.987100437826422,8.591030819788662,560,0.36303731249241017
241,8.330561910379313,8.588077908552478,560,0.3629125292176553
242,9.367108506538047,8.643863481501102,560,0.36526989993415526
243,9.19170990176953,8.861451445816645,560,0.3744646696251051
244,9.145522150258394,10.701445313537489,560,0.4522186019240377
245,9.046567998718094,10.390380132989138,560,0.439073698882121
246,9.73180273100681,8.758336691788994,560,0.37010727597051746
247,8.986678757110715,9.749003276277977,560,0.41197057991542896
248,8.961204555212568,8.660167042467927,560,0.36595885113007215
249,9.523069857196349,8.556576017948647,560,0.3615813313738643
250,9.004791966176263,9.724859034619204,560,0.41095029948717376
251,10.232923064160104,11.883372191810246,560,0.5021641284215483
252,10.293489760381277,13.002166635191793,560,0.5494418226210752
253,9.952414755446322,9.290316791694732,560,0.39258753821382925
254,10.083759975829368,11.278787403572325,560,0.4766157581153775
255,9.438769085970478,9.514117348265506,560,0.40204483784364914
256,9.35089454532372,11.674337935274181,560,0.493330818856775
257,9.291009780679683,11.153589079266276,560,0.47132516329177054
258,9.516015564163654,9.812325226334828,560,0.4146464206908417
259,9.335249225910196,9.048624209998794,560,0.38237416252599715
260,10.601198109000743,11.261719070517717,560,0.47589448940026624
261,9.601461932675372,10.125395616754744,560,0.4278760593154872
262,10.587473057745845,10.751928699866511,560,0.45435191436149147
263,10.341490979090462,13.552560083144943,560,0.5727001908366903
264,10.30816222134069,11.022181325837115,560,0.465772172196022
265,9.797817993392604,10.344337797639332,560,0.4371280551011947
266,9.902724323911078,9.972150413477122,560,0.42140026753714627
267,10.362827664485502,10.725557404741567,560,0.45323752374761406
268,10.893717866574896,18.058279122903127,560,0.7631015716898362
269,9.601519698875398,11.176061560207648,560,0.4722747989358659
270,11.481420191471544,12.728304329397345,560,0.5378690279734781
271,10.967229772717483,12.058513010389401,560,0.5095651788214888
272,11.3726426521706,15.470684901260514,560,0.6537557583932272
273,11.009148916605639,13.022537531552814,560,0.5503026501076826
274,11.042130717388702,10.347743113027086,560,0.43727195594062734
275,10.836301189217798,12.41445509541991,560,0.5246064772015125
276,10.31595287247554,12.774999866733548,560,0.5398422745763045
277,12.160574527060835,14.984723246129985,560,0.6332201303698033
278,9.852456500200475,12.93778424514311,560,0.5467211700771134
279,10.571799190146562,11.364329391972896,560,0.48023056688811144
280,11.220618162956258,13.228756399296762,560,0.5590169877816374
281,10.467842143905672,13.503185093754235,560,0.5706137167186537
282,11.129927361476861,11.414928718552966,560,0.48236877869538863
283,11.79197120589487,16.24026268518718,560,0.6862763553147354
284,10.10748966381236,12.116159990002892,560,0.5120012083261183
285,11.1349208253234,13.500393365189867,560,0.5704957446549426
286,10.487826013583081,12.11701227096079,560,0.5120372237700078
287,11.382708693001263,15.50536357584954,560,0.6552211998620903
288,10.335390169189688,12.726108349357375,560,0.5377762308797742
289,9.726111304669722,12.32925488921672,560,0.5210061113626938
290,10.27590637619936,15.210049491601511,560,0.6427419021229164
291,10.285984062105173,12.230068849321404,560,0.5168147361813339
292,10.157159589837732,11.681054850266268,560,0.4936146603209856
293,10.894768911531038,13.22450041426967,560,0.5588371395889521
294,11.56379311932273,14.42934173688382,560,0.6097509780929562
295,11.214284927296386,15.921509469426772,560,0.6728065734893202
296,10.724263511719158,12.972334305408118,560,0.5481811765988183
297,10.681935565337628,14.03006601745791,560,0.5928784994388263
298,11.42389029652811,16.28073768315558,560,0.6879867361518914
299,10.42341309933675,12.673812228653746,560,0.5355663164338508
300,9.414238780135774,11.21770397783084,560,0.47403451225743704
301,12.241914412484656,16.371708093885754,560,0.6918309376360419
302,10.535001026044732,14.589723320599605,560,0.6165283369858309
303,11.268652125155208,15.972264810310667,560,0.6749513781042311
304,10.968251684867225,13.69732445701613,560,0.5788176021622076
305,13.14312008723392,20.345986147648837,560,0.8597748379666438
306,11.359497126838063,16.828065993547426,560,0.7111155786649435
307,9.957865393818926,11.927652276097062,560,0.5040353035032853
308,10.961694146598242,14.098954266591841,560,0.5957895592816432
309,9.664672006517455,11.805557497570735,560,0.4988758574257023
310,11.510560518650818,16.021123018123475,560,0.6770160142148015
311,9.844821412594953,12.991991276497485,560,0.5490118352363811
312,10.379235381288636,12.338886962366123,560,0.5214131407428976
313,11.117864314519279,14.90544419638858,560,0.6298699790598141
314,10.307133961204858,13.474593745440387,560,0.5694055117348601
315,11.120754387850116,14.462957394249857,560,0.6111714988853763
316,10.809181022219844,15.39507470196138,560,0.6505606443113005
317,11.558546409411491,18.751485775836723,560,0.7923948992964832
318,10.334312010380213,13.159557942128469,560,0.5560928192568159
319,11.112981562911099,16.60626868567862,560,0.7017429317433109
320,12.389996368014671,16.707592596177285,560,0.7060246484464947
321,10.559486707809443,14.27916328436905,560,0.6034047801873861
322,11.213123968925638,14.601045475973992,560,0.6170067853751989
323,11.443800388027158,15.86528164148283,560,0.6704305140882719
324,11.878466770825394,17.498493821041148,560,0.7394463252096791
325,11.248904229197802,16.373142027373582,560,0.6918915323854536
326,12.950088709673603,18.631886353067024,560,0.787340901245639
327,11.042349930011206,13.532678000417699,560,0.5718600194962006
328,12.385183865559029,16.92667346526681,560,0.7152825048785264
329,11.42863271906351,13.05611049244252,560,0.5517213666446712
330,12.958425564537622,18.97093277276416,560,0.8016682274535143
331,10.923913196142356,15.82475154462081,560,0.6687178048978971
332,13.016000117870883,17.42887402521137,560,0.7365043518767358
333,11.995128973941068,15.777270883842741,560,0.6667113807742018
334,12.549095073517822,16.666851922879836,560,0.7043030407776025
335,12.010498702710226,15.423863389209322,560,0.6517771883870828
336,11.725352339263644,15.430313411858254,560,0.6520497515913248
337,10.753358459792064,13.888526008776305,560,0.5868973424112479
338,11.957293202873778,15.287672753479823,560,0.6460220836250344
339,11.158532896863925,13.963402232531866,560,0.5900614403654987
340,12.363033218997,16.240077797528706,560,0.6862685423851751
341,10.48042240143225,12.89082377890394,560,0.54473672818481
342,12.850995804222618,19.70788603841418,560,0.8328101868535236
343,12.249982456646947,17.478846123751147,560,0.7386160584616661
344,11.927201274236314,14.010445067459475,560,0.5920493629701766
345,13.895679402560306,17.685345686041224,560,0.7473422576451177
346,12.127240282871183,16.09672680737122,560,0.6802108574226179
347,11.498689255666678,13.999552326206642,560,0.5915890606394023
348,11.548785721623059,15.743524171136231,560,0.6652853218828514
349,11.20705290603797,15.238284276990143,560,0.6439350395730438
350,11.690721617141172,17.69999050553888,560,0.7479611142205266
351,12.989653523510981,17.85769489533482,560,0.7546253410217968
352,12.27282610470816,16.671975539639163,560,0.7045195531027898
353,13.151822427041948,18.364058261276675,560,0.7760230986800174
354,13.289190911066182,18.370556721739135,560,0.776297708755469
355,11.131185493502663,15.427851978141952,560,0.6519457370324215
356,14.06370295164785,21.38404506920686,560,0.9036408336773267
357,13.692874586801018,19.325945481339446,560,0.8166702525102691
358,11.569837764221312,14.776870927668323,560,0.6244367668046502
359,13.015761161875538,15.922004382236961,560,0.6728274873726827
360,12.380275671118463,18.44421896082783,560,0.779410506494401
361,12.641072610830584,26.52782949112767,560,1.1210053981569583
362,12.90225276464025,15.443334320032678,560,0.652599985388527
363,10.622124023837374,14.300748960449278,560,0.6043169414864059
364,13.049383995643037,18.286255212073357,560,0.7727353197767656
365,14.495183696326736,19.91881704364062,560,0.841723648679588
366,13.241114544935552,17.902029976352654,560,0.7564988401395946
367,11.55863766940389,14.894515805759607,560,0.6294081702679436
368,11.712305528428422,15.374674763151965,560,0.6496985895572516
369,12.293977170682245,17.11589113885141,560,0.7232784109735193
370,13.995948490187603,23.159419593093947,560,0.978664100307316
371,12.691871690206918,16.402899262003967,560,0.6931490050582949
372,13.691194171687224,22.103948707195396,560,0.9340623148093542
373,13.46757153555464,20.90432334173272,560,0.8833688907243025
374,11.980520805867602,20.10909809247708,560,0.849764490580505
375,11.773867686857301,17.05006378787673,560,0.7204966976858314
376,11.883768043357549,19.768720069343953,560,0.8353808938571529
377,11.510845458491698,16.737601273080035,560,0.7072927464946513
378,11.45647505823721,19.762382864662662,560,0.8351130980821789
379,10.546585291181318,13.090222227339668,560,0.5531628505388959
380,12.020349158169942,17.98759148244639,560,0.7601144736853996
381,11.733334882065211,18.745093554239116,560,0.792124778632464
382,11.824972029334228,17.246308014739878,560,0.7287895298507963
383,12.518971987203672,19.26024116257948,560,0.8138937382825678
384,12.26173129486135,18.011851014284993,560,0.7611396260129555
385,11.78226327479395,17.89466239290213,560,0.7561875029145807
386,10.986487289116447,19.595696635528657,560,0.828069319294316
387,12.591630898692106,20.588892140552666,560,0.8700394896367301
388,11.715284808478751,20.44357359305322,560,0.8638986602012237
389,12.029790337759252,16.153829744192407,560,0.6826238969232139
390,12.56267458736907,18.795359579695752,560,0.7942489058966125
391,9.979581153629312,14.170255231767307,560,0.598802574985858
392,11.752673620496468,15.126188328576076,560,0.639198121186045
393,12.111279596124179,20.26123873722423,560,0.8561936062417647
394,10.746409714454236,16.122275075480076,560,0.6812904687972751
395,14.176781331997779,20.7857336250922,560,0.8783575605450131
396,12.16584649873774,17.274616902360396,560,0.7299857986917518
397,12.4821008011433,18.969383084582518,560,0.8016027411755033
398,13.14070001813034,19.39195151984798,560,0.8194595167244322
399,11.228956250967464,16.380322989258996,560,0.6921949834099788
400,12.017187091860235,15.568219526020988,560,0.6578773485482103
401,12.396254253884413,15.982232337742868,560,0.6753725830151536
402,11.247136253533169,20.220637530008155,560,0.8544778920904756
403,11.525915607051614,17.582901208330938,560,0.7430131883346034
404,10.205713383931027,15.651963199632112,560,0.6614161646511623
405,13.037689834843485,21.999248116815895,560,0.929637907337763
406,12.482130094897895,18.386919141499224,560,0.7769891471893635
407,11.526813937024759,14.621906537455136,560,0.617888326118646
408,11.632455296639355,19.254996649026047,560,0.8136721171353847
409,11.089843484982822,14.97851819503501,560,0.6329579191031169
410,10.446017778384752,16.432737370620362,560,0.6944098952808048
411,11.807900391766838,18.876319031301865,560,0.7976700671458821
412,11.977976233869086,18.539474809981904,560,0.7834358008044181
413,11.049560938062875,19.852868843667,560,0.8389368285896185
414,11.50790024265307,16.812063607322777,560,0.7104393544247649
415,12.697575706006349,19.030353458972847,560,0.8041792097419221
416,12.40426151643494,16.079037377733602,560,0.6794633425865202
417,11.6177233854411,16.88346809666583,560,0.7134567448235147
418,10.530547027405218,19.61418375733021,560,0.8288505427767294
419,11.017658362371069,21.964418733406234,560,0.9281660972588507
420,10.728673835409644,15.560994693682256,560,0.6575720436586714
421,12.148903678896993,18.965167616683,560,0.801424605143956
422,13.648523987908057,20.79936215980918,560,0.8789334712501018
423,12.155434970776069,20.984792157405803,560,0.886769318821256
424,12.266768285726593,16.94778607893229,560,0.7161746756419174
425,14.33422314567563,27.75341270298867,560,1.1727957414583665
426,12.870067846764066,20.928969369196462,560,0.8844103754729594
427,11.88936341912661,19.195900594393034,560,0.8111748530348466
428,10.679534875106569,19.64069551558336,560,0.8299708690411286
429,11.694906904488136,20.733338741965706,560,0.8761434726249953
430,12.292020375567875,24.95365092085027,560,1.0544842123383384
431,12.656290050656077,21.468156804227373,560,0.9071952032135858
432,11.053157226029489,19.148821107407525,560,0.8091853815980345
433,12.308318574226229,18.983468566933528,560,0.8021979614424463
434,10.535247424710565,18.9419087673909,560,0.8004417393719905
435,12.44083113528595,19.71374012479813,560,0.8330575671542707
436,10.974391078546978,17.57290794675167,560,0.7425908959574866
437,11.825229102652285,17.23866943692094,560,0.7284667410236086
438,12.051432108738492,18.03375046959217,560,0.7620650469044103
439,11.368690355084851,20.616458521872964,560,0.871204381859746
440,10.830356100244215,19.425883642138285,560,0.8208934106007132
441,11.08211486635856,17.804376818977804,560,0.752372241067443
442,11.159481080539896,17.135677697192083,560,0.7241145456719219
443,11.272803847703246,18.790483439063824,560,0.7940428513465259
444,9.904348659230545,16.806385652014118,560,0.7101994170204012
445,13.309465082762875,23.06031841888989,560,0.9744763113559584
446,11.968994812261034,17.046240817723824,560,0.7203351477113099
447,11.056023699148064,16.312576540091744,560,0.6893321734221561
448,11.533382522730383,22.220294676887352,560,0.9389788293746378
449,14.252523429796527,22.55992084235082,560,0.9533306543125667
450,13.081519412482288,24.21666824158286,560,1.0233410099861349
451,11.990712034806467,21.563315424780676,560,0.911216388865322
452,11.116353932887444,18.815570890576236,560,0.7951029896658264
453,10.742340565429938,21.145245110688062,560,0.8935496936287689
454,12.260417341031706,18.302407850199163,560,0.7734178933186213
455,10.78247931342341,19.986988073249716,560,0.8446044004657557
456,12.59673167711331,19.511515612477353,560,0.8245120218043557
457,13.961032851893105,22.756033125101073,560,0.9616179108211116
458,12.448898206658427,29.957314660719728,560,1.2659275972874122
