Running sliding ZINB CPD on dataset: noisy_data
Input file: Signal_processing/sample_data/noisy_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.2558, mu=4.2193, ll=-1111845.62, converged=False
theta=8.51e-02: pi=0.5205, mu=6.5483, ll=-1107940.19, converged=True
theta=8.71e-02: pi=0.5291, mu=6.6681, ll=-1107727.33, converged=True
theta=8.92e-02: pi=0.5375, mu=6.7895, ll=-1107510.43, converged=True
theta=9.13e-02: pi=0.5458, mu=6.9124, ll=-1107289.42, converged=True
theta=9.34e-02: pi=0.5538, mu=7.0367, ll=-1107064.25, converged=True
theta=9.56e-02: pi=0.5616, mu=7.1626, ll=-1106834.88, converged=True
theta=9.78e-02: pi=0.5693, mu=7.2900, ll=-1106601.24, converged=True
theta=1.00e-01: pi=0.5768, mu=7.4188, ll=-1106363.28, converged=True
theta=1.02e-01: pi=0.5841, mu=7.5490, ll=-1106120.95, converged=True
theta=1.05e-01: pi=0.5912, mu=7.6807, ll=-1105874.21, converged=True
theta=1.07e-01: pi=0.5982, mu=7.8138, ll=-1105622.99, converged=True
theta=1.10e-01: pi=0.6050, mu=7.9483, ll=-1105367.25, converged=True
theta=1.12e-01: pi=0.6116, mu=8.0842, ll=-1105106.94, converged=True
theta=1.15e-01: pi=0.6181, mu=8.2214, ll=-1104842.01, converged=True
theta=1.18e-01: pi=0.6244, mu=8.3600, ll=-1104572.42, converged=True
theta=1.20e-01: pi=0.6306, mu=8.4998, ll=-1104298.12, converged=True
theta=1.23e-01: pi=0.6366, mu=8.6410, ll=-1104019.06, converged=True
theta=1.26e-01: pi=0.6425, mu=8.7833, ll=-1103735.20, converged=True
theta=1.29e-01: pi=0.6483, mu=8.9269, ll=-1103446.51, converged=True
theta=1.32e-01: pi=0.6539, mu=9.0717, ll=-1103152.94, converged=True
theta=1.35e-01: pi=0.6594, mu=9.2176, ll=-1102854.45, converged=True
theta=1.38e-01: pi=0.6647, mu=9.3647, ll=-1102551.01, converged=True
theta=1.42e-01: pi=0.6699, mu=9.5128, ll=-1102242.58, converged=True
theta=1.45e-01: pi=0.6750, mu=9.6619, ll=-1101929.14, converged=True
theta=1.48e-01: pi=0.6800, mu=9.8121, ll=-1101610.66, converged=True
theta=1.52e-01: pi=0.6849, mu=9.9632, ll=-1101287.10, converged=True
theta=1.55e-01: pi=0.6896, mu=10.1152, ll=-1100958.45, converged=True
theta=1.59e-01: pi=0.6942, mu=10.2681, ll=-1100624.68, converged=True
theta=1.63e-01: pi=0.6987, mu=10.4218, ll=-1100285.78, converged=True
theta=1.67e-01: pi=0.7031, mu=10.5763, ll=-1099941.74, converged=True
theta=1.70e-01: pi=0.7074, mu=10.7315, ll=-1099592.53, converged=True
theta=1.74e-01: pi=0.7116, mu=10.8874, ll=-1099238.15, converged=True
theta=1.79e-01: pi=0.7157, mu=11.0439, ll=-1098878.60, converged=True
theta=1.83e-01: pi=0.7197, mu=11.2009, ll=-1098513.88, converged=True
theta=1.87e-01: pi=0.7236, mu=11.3585, ll=-1098143.99, converged=True
theta=1.91e-01: pi=0.7274, mu=11.5165, ll=-1097768.94, converged=True
theta=1.96e-01: pi=0.7311, mu=11.6749, ll=-1097388.75, converged=True
theta=2.00e-01: pi=0.7347, mu=11.8336, ll=-1097003.42, converged=True
theta=2.05e-01: pi=0.7382, mu=11.9925, ll=-1096612.98, converged=True
theta=2.10e-01: pi=0.7416, mu=12.1517, ll=-1096217.46, converged=True
theta=2.15e-01: pi=0.7450, mu=12.3110, ll=-1095816.89, converged=True
theta=2.20e-01: pi=0.7482, mu=12.4704, ll=-1095411.30, converged=True
theta=2.25e-01: pi=0.7514, mu=12.6298, ll=-1095000.75, converged=True
theta=2.30e-01: pi=0.7545, mu=12.7891, ll=-1094585.28, converged=True
theta=2.36e-01: pi=0.7575, mu=12.9483, ll=-1094164.94, converged=True
theta=2.41e-01: pi=0.7604, mu=13.1073, ll=-1093739.80, converged=True
theta=2.47e-01: pi=0.7633, mu=13.2660, ll=-1093309.92, converged=True
theta=2.53e-01: pi=0.7661, mu=13.4244, ll=-1092875.39, converged=True
theta=2.59e-01: pi=0.7688, mu=13.5824, ll=-1092436.28, converged=True
theta=2.65e-01: pi=0.7715, mu=13.7399, ll=-1091992.69, converged=True
theta=2.71e-01: pi=0.7741, mu=13.8969, ll=-1091544.70, converged=True
theta=2.77e-01: pi=0.7766, mu=14.0532, ll=-1091092.44, converged=True
theta=2.84e-01: pi=0.7790, mu=14.2089, ll=-1090636.00, converged=True
theta=2.90e-01: pi=0.7814, mu=14.3638, ll=-1090175.51, converged=True
theta=2.97e-01: pi=0.7837, mu=14.5179, ll=-1089711.11, converged=True
theta=3.04e-01: pi=0.7860, mu=14.6710, ll=-1089242.92, converged=True
theta=3.11e-01: pi=0.7882, mu=14.8232, ll=-1088771.11, converged=True
theta=3.18e-01: pi=0.7903, mu=14.9744, ll=-1088295.82, converged=True
theta=3.26e-01: pi=0.7924, mu=15.1244, ll=-1087817.22, converged=True
theta=3.33e-01: pi=0.7944, mu=15.2733, ll=-1087335.49, converged=True
theta=3.41e-01: pi=0.7964, mu=15.4209, ll=-1086850.82, converged=True
theta=3.49e-01: pi=0.7983, mu=15.5673, ll=-1086363.40, converged=True
theta=3.57e-01: pi=0.8002, mu=15.7122, ll=-1085873.44, converged=True
theta=3.66e-01: pi=0.8020, mu=15.8557, ll=-1085381.16, converged=True
theta=3.74e-01: pi=0.8037, mu=15.9977, ll=-1084886.79, converged=True
theta=3.83e-01: pi=0.8054, mu=16.1382, ll=-1084390.56, converged=True
theta=3.92e-01: pi=0.8071, mu=16.2770, ll=-1083892.74, converged=True
theta=4.01e-01: pi=0.8087, mu=16.4142, ll=-1083393.57, converged=True
theta=4.11e-01: pi=0.8103, mu=16.5496, ll=-1082893.34, converged=True
theta=4.20e-01: pi=0.8118, mu=16.6833, ll=-1082392.34, converged=True
theta=4.30e-01: pi=0.8133, mu=16.8151, ll=-1081890.85, converged=True
theta=4.40e-01: pi=0.8147, mu=16.9450, ll=-1081389.19, converged=True
theta=4.51e-01: pi=0.8161, mu=17.0731, ll=-1080887.69, converged=True
theta=4.61e-01: pi=0.8174, mu=17.1991, ll=-1080386.68, converged=True
theta=4.72e-01: pi=0.8187, mu=17.3231, ll=-1079886.51, converged=True
theta=4.83e-01: pi=0.8200, mu=17.4451, ll=-1079387.53, converged=True
theta=4.94e-01: pi=0.8212, mu=17.5649, ll=-1078890.13, converged=True
theta=5.06e-01: pi=0.8224, mu=17.6827, ll=-1078394.68, converged=True
theta=5.18e-01: pi=0.8236, mu=17.7982, ll=-1077901.59, converged=True
theta=5.30e-01: pi=0.8247, mu=17.9116, ll=-1077411.28, converged=True
theta=5.42e-01: pi=0.8258, mu=18.0228, ll=-1076924.16, converged=True
theta=5.55e-01: pi=0.8268, mu=18.1317, ll=-1076440.67, converged=True
theta=5.68e-01: pi=0.8278, mu=18.2384, ll=-1075961.27, converged=True
theta=5.81e-01: pi=0.8288, mu=18.3427, ll=-1075486.42, converged=True
theta=5.95e-01: pi=0.8298, mu=18.4448, ll=-1075016.61, converged=True
theta=6.09e-01: pi=0.8307, mu=18.5446, ll=-1074552.31, converged=True
theta=6.23e-01: pi=0.8316, mu=18.6420, ll=-1074094.03, converged=True
theta=6.38e-01: pi=0.8324, mu=18.7372, ll=-1073642.30, converged=True
theta=6.52e-01: pi=0.8332, mu=18.8300, ll=-1073197.64, converged=True
theta=6.68e-01: pi=0.8340, mu=18.9204, ll=-1072760.59, converged=True
theta=6.83e-01: pi=0.8348, mu=19.0085, ll=-1072331.71, converged=True
theta=6.99e-01: pi=0.8356, mu=19.0943, ll=-1071911.56, converged=True
theta=7.16e-01: pi=0.8363, mu=19.1778, ll=-1071500.72, converged=True
theta=7.32e-01: pi=0.8370, mu=19.2589, ll=-1071099.79, converged=True
theta=7.50e-01: pi=0.8376, mu=19.3378, ll=-1070709.36, converged=True
theta=7.67e-01: pi=0.8383, mu=19.4143, ll=-1070330.06, converged=True
theta=7.85e-01: pi=0.8389, mu=19.4886, ll=-1069962.51, converged=True
theta=8.04e-01: pi=0.8395, mu=19.5606, ll=-1069607.33, converged=True
theta=8.22e-01: pi=0.8400, mu=19.6304, ll=-1069265.19, converged=True
theta=8.42e-01: pi=0.8406, mu=19.6979, ll=-1068936.73, converged=True
theta=8.61e-01: pi=0.8411, mu=19.7633, ll=-1068622.63, converged=True
theta=8.81e-01: pi=0.8416, mu=19.8265, ll=-1068323.55, converged=True
theta=9.02e-01: pi=0.8421, mu=19.8876, ll=-1068040.20, converged=True
theta=9.23e-01: pi=0.8426, mu=19.9465, ll=-1067773.25, converged=True
theta=9.45e-01: pi=0.8430, mu=20.0034, ll=-1067523.43, converged=True
theta=9.67e-01: pi=0.8435, mu=20.0583, ll=-1067291.42, converged=True
theta=9.90e-01: pi=0.8439, mu=20.1111, ll=-1067077.96, converged=True
theta=1.01e+00: pi=0.8443, mu=20.1620, ll=-1066883.77, converged=True
theta=1.04e+00: pi=0.8446, mu=20.2109, ll=-1066709.59, converged=True
theta=1.06e+00: pi=0.8450, mu=20.2580, ll=-1066556.14, converged=True
theta=1.09e+00: pi=0.8453, mu=20.3032, ll=-1066424.18, converged=True
theta=1.11e+00: pi=0.8457, mu=20.3466, ll=-1066314.45, converged=True
theta=1.14e+00: pi=0.8460, mu=20.3882, ll=-1066227.71, converged=True
theta=1.16e+00: pi=0.8463, mu=20.4281, ll=-1066164.72, converged=True
theta=1.19e+00: pi=0.8466, mu=20.4663, ll=-1066126.23, converged=True
theta=1.22e+00: pi=0.8469, mu=20.5029, ll=-1066113.02, converged=True
theta=1.25e+00: pi=0.8471, mu=20.5378, ll=-1066125.85, converged=True
theta=1.28e+00: pi=0.8474, mu=20.5712, ll=-1066165.48, converged=True
theta=1.31e+00: pi=0.8476, mu=20.6031, ll=-1066232.69, converged=True
theta=1.34e+00: pi=0.8478, mu=20.6336, ll=-1066328.25, converged=True
theta=1.37e+00: pi=0.8480, mu=20.6626, ll=-1066452.94, converged=True
theta=1.40e+00: pi=0.8482, mu=20.6903, ll=-1066607.51, converged=True
theta=1.43e+00: pi=0.8484, mu=20.7166, ll=-1066792.75, converged=True
theta=1.47e+00: pi=0.8486, mu=20.7416, ll=-1067009.42, converged=True
theta=1.50e+00: pi=0.8488, mu=20.7654, ll=-1067258.30, converged=True
theta=1.54e+00: pi=0.8490, mu=20.7880, ll=-1067540.13, converged=True
theta=1.57e+00: pi=0.8491, mu=20.8095, ll=-1067855.69, converged=True
theta=1.61e+00: pi=0.8493, mu=20.8298, ll=-1068205.74, converged=True
theta=1.65e+00: pi=0.8494, mu=20.8490, ll=-1068591.03, converged=True
theta=1.69e+00: pi=0.8495, mu=20.8673, ll=-1069012.30, converged=True
theta=1.72e+00: pi=0.8497, mu=20.8845, ll=-1069470.31, converged=True
theta=1.76e+00: pi=0.8498, mu=20.9008, ll=-1069965.79, converged=True
theta=1.81e+00: pi=0.8499, mu=20.9162, ll=-1070499.48, converged=True
theta=1.85e+00: pi=0.8500, mu=20.9307, ll=-1071072.10, converged=True
theta=1.89e+00: pi=0.8501, mu=20.9444, ll=-1071684.37, converged=True
theta=1.94e+00: pi=0.8502, mu=20.9573, ll=-1072337.01, converged=True
theta=1.98e+00: pi=0.8503, mu=20.9695, ll=-1073030.72, converged=True
theta=2.03e+00: pi=0.8503, mu=20.9809, ll=-1073766.19, converged=True
theta=2.08e+00: pi=0.8504, mu=20.9917, ll=-1074544.11, converged=True
theta=2.12e+00: pi=0.8505, mu=21.0017, ll=-1075365.16, converged=True
theta=2.17e+00: pi=0.8506, mu=21.0112, ll=-1076230.00, converged=True
theta=2.22e+00: pi=0.8506, mu=21.0201, ll=-1077139.30, converged=True
theta=2.28e+00: pi=0.8507, mu=21.0284, ll=-1078093.70, converged=True
theta=2.33e+00: pi=0.8507, mu=21.0361, ll=-1079093.84, converged=True
theta=2.38e+00: pi=0.8508, mu=21.0434, ll=-1080140.34, converged=True
theta=2.44e+00: pi=0.8508, mu=21.0502, ll=-1081233.82, converged=True
theta=2.50e+00: pi=0.8509, mu=21.0565, ll=-1082374.87, converged=True
theta=2.56e+00: pi=0.8509, mu=21.0625, ll=-1083564.08, converged=True
theta=2.62e+00: pi=0.8510, mu=21.0680, ll=-1084802.04, converged=True
theta=2.68e+00: pi=0.8510, mu=21.0731, ll=-1086089.30, converged=True
theta=2.74e+00: pi=0.8510, mu=21.0779, ll=-1087426.41, converged=True
theta=2.80e+00: pi=0.8511, mu=21.0823, ll=-1088813.90, converged=True
theta=2.87e+00: pi=0.8511, mu=21.0864, ll=-1090252.30, converged=True
theta=2.94e+00: pi=0.8511, mu=21.0903, ll=-1091742.12, converged=True
theta=3.01e+00: pi=0.8511, mu=21.0938, ll=-1093283.84, converged=True
theta=3.08e+00: pi=0.8512, mu=21.0971, ll=-1094877.93, converged=True
theta=3.15e+00: pi=0.8512, mu=21.1002, ll=-1096524.87, converged=True
theta=3.22e+00: pi=0.8512, mu=21.1030, ll=-1098225.08, converged=True
theta=3.30e+00: pi=0.8512, mu=21.1056, ll=-1099979.01, converged=True
theta=3.37e+00: pi=0.8512, mu=21.1080, ll=-1101787.05, converged=True
theta=3.45e+00: pi=0.8513, mu=21.1102, ll=-1103649.61, converged=True
theta=3.53e+00: pi=0.8513, mu=21.1123, ll=-1105567.06, converged=True
theta=3.62e+00: pi=0.8513, mu=21.1142, ll=-1107539.76, converged=True
theta=3.70e+00: pi=0.8513, mu=21.1159, ll=-1109568.04, converged=True
theta=3.79e+00: pi=0.8513, mu=21.1175, ll=-1111652.23, converged=True
theta=3.88e+00: pi=0.8513, mu=21.1190, ll=-1113792.64, converged=True
theta=3.97e+00: pi=0.8513, mu=21.1203, ll=-1115989.54, converged=True
theta=4.06e+00: pi=0.8513, mu=21.1216, ll=-1118243.19, converged=True
theta=4.15e+00: pi=0.8513, mu=21.1227, ll=-1120553.85, converged=True
theta=4.25e+00: pi=0.8514, mu=21.1238, ll=-1122921.74, converged=True
theta=4.35e+00: pi=0.8514, mu=21.1247, ll=-1125347.06, converged=True
theta=4.45e+00: pi=0.8514, mu=21.1256, ll=-1127829.99, converged=True
theta=4.56e+00: pi=0.8514, mu=21.1264, ll=-1130370.69, converged=True
theta=4.66e+00: pi=0.8514, mu=21.1271, ll=-1132969.30, converged=True
theta=4.77e+00: pi=0.8514, mu=21.1278, ll=-1135625.94, converged=True
theta=4.89e+00: pi=0.8514, mu=21.1284, ll=-1138340.70, converged=True
theta=5.00e+00: pi=0.8514, mu=21.1289, ll=-1141113.65, converged=True

Best theta: 1.22e+00 with ll=-1066113.02
Final parameters: pi=0.8469, mu=20.5029, theta=1.2187
Estimated global theta: 1.2187
(Estimated global pi: 0.8469, mu: 20.5029)
Using global theta: 1.2187 for all window sizes and thresholds.
Using 4 workers to process 4 window sizes in parallel
Processing window size: 80, threshold: 0.50
Processing window size: 80, threshold: 1.34
Processing window size: 80, threshold: 2.19
Processing window size: 80, threshold: 3.03
Processing window size: 80, threshold: 3.88
Processing window size: 80, threshold: 4.72
Processing window size: 80, threshold: 5.57
Processing window size: 80, threshold: 6.41
Processing window size: 80, threshold: 7.26
Processing window size: 80, threshold: 8.10
Processing window size: 80, threshold: 8.95
Processing window size: 80, threshold: 9.79
Processing window size: 80, threshold: 10.64
Processing window size: 80, threshold: 11.48
Processing window size: 80, threshold: 12.33
Processing window size: 80, threshold: 13.17
Processing window size: 80, threshold: 14.02
Processing window size: 80, threshold: 14.86
Processing window size: 80, threshold: 15.71
Processing window size: 80, threshold: 16.55
Processing window size: 80, threshold: 17.40
Processing window size: 80, threshold: 18.24
Processing window size: 80, threshold: 19.09
Processing window size: 80, threshold: 19.93
Processing window size: 80, threshold: 20.78
Processing window size: 80, threshold: 21.62
Processing window size: 80, threshold: 22.47
Processing window size: 80, threshold: 23.31
Processing window size: 80, threshold: 24.16
Processing window size: 80, threshold: 25.00
Processing window size: 50, threshold: 0.50
Processing window size: 50, threshold: 1.34
Processing window size: 50, threshold: 2.19
Processing window size: 50, threshold: 3.03
Processing window size: 50, threshold: 3.88
Processing window size: 50, threshold: 4.72
Processing window size: 50, threshold: 5.57
Processing window size: 50, threshold: 6.41
Processing window size: 50, threshold: 7.26
Processing window size: 50, threshold: 8.10
Processing window size: 50, threshold: 8.95
Processing window size: 50, threshold: 9.79
Processing window size: 50, threshold: 10.64
Processing window size: 50, threshold: 11.48
Processing window size: 50, threshold: 12.33
Processing window size: 50, threshold: 13.17
Processing window size: 50, threshold: 14.02
Processing window size: 50, threshold: 14.86
Processing window size: 50, threshold: 15.71
Processing window size: 50, threshold: 16.55
Processing window size: 50, threshold: 17.40
Processing window size: 50, threshold: 18.24
Processing window size: 50, threshold: 19.09
Processing window size: 50, threshold: 19.93
Processing window size: 50, threshold: 20.78
Processing window size: 50, threshold: 21.62
Processing window size: 50, threshold: 22.47
Processing window size: 50, threshold: 23.31
Processing window size: 50, threshold: 24.16
Processing window size: 50, threshold: 25.00
Processing window size: 30, threshold: 0.50
Processing window size: 30, threshold: 1.34
Processing window size: 30, threshold: 2.19
Processing window size: 30, threshold: 3.03
Processing window size: 30, threshold: 3.88
Processing window size: 30, threshold: 4.72
Processing window size: 30, threshold: 5.57
Processing window size: 30, threshold: 6.41
Processing window size: 30, threshold: 7.26
Processing window size: 30, threshold: 8.10
Processing window size: 30, threshold: 8.95
Processing window size: 30, threshold: 9.79
Processing window size: 30, threshold: 10.64
Processing window size: 30, threshold: 11.48
Processing window size: 30, threshold: 12.33
Processing window size: 30, threshold: 13.17
Processing window size: 30, threshold: 14.02
Processing window size: 30, threshold: 14.86
Processing window size: 30, threshold: 15.71
Processing window size: 30, threshold: 16.55
Processing window size: 30, threshold: 17.40
Processing window size: 30, threshold: 18.24
Processing window size: 30, threshold: 19.09
Processing window size: 30, threshold: 19.93
Processing window size: 30, threshold: 20.78
Processing window size: 30, threshold: 21.62
Processing window size: 30, threshold: 22.47
Processing window size: 30, threshold: 23.31
Processing window size: 30, threshold: 24.16
Processing window size: 30, threshold: 25.00
Processing window size: 10, threshold: 0.50
Processing window size: 10, threshold: 1.34
Processing window size: 10, threshold: 2.19
Processing window size: 10, threshold: 3.03
Processing window size: 10, threshold: 3.88
Processing window size: 10, threshold: 4.72
Processing window size: 10, threshold: 5.57
Processing window size: 10, threshold: 6.41
Processing window size: 10, threshold: 7.26
Processing window size: 10, threshold: 8.10
Processing window size: 10, threshold: 8.95
Processing window size: 10, threshold: 9.79
Processing window size: 10, threshold: 10.64
Processing window size: 10, threshold: 11.48
Processing window size: 10, threshold: 12.33
Processing window size: 10, threshold: 13.17
Processing window size: 10, threshold: 14.02
Processing window size: 10, threshold: 14.86
Processing window size: 10, threshold: 15.71
Processing window size: 10, threshold: 16.55
Processing window size: 10, threshold: 17.40
Processing window size: 10, threshold: 18.24
Processing window size: 10, threshold: 19.09
Processing window size: 10, threshold: 19.93
Processing window size: 10, threshold: 20.78
Processing window size: 10, threshold: 21.62
Processing window size: 10, threshold: 22.47
Processing window size: 10, threshold: 23.31
Processing window size: 10, threshold: 24.16
Processing window size: 10, threshold: 25.00
Completed processing window size: 80
Completed processing window size: 10
Completed processing window size: 30
Completed processing window size: 50
Finished processing noisy_data
