Running sliding ZINB CPD on dataset: realistic_data
Input file: Signal_processing/sample_data/realistic_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.1887, mu=4.1392, ll=-1219725.30, converged=False
theta=8.92e-02: pi=0.4944, mu=6.6416, ll=-1214031.14, converged=True
theta=9.13e-02: pi=0.5034, mu=6.7619, ll=-1213738.93, converged=True
theta=9.34e-02: pi=0.5122, mu=6.8837, ll=-1213441.00, converged=True
theta=9.56e-02: pi=0.5207, mu=7.0070, ll=-1213137.28, converged=True
theta=9.78e-02: pi=0.5291, mu=7.1317, ll=-1212827.68, converged=True
theta=1.00e-01: pi=0.5373, mu=7.2578, ll=-1212512.11, converged=True
theta=1.02e-01: pi=0.5453, mu=7.3854, ll=-1212190.50, converged=True
theta=1.05e-01: pi=0.5531, mu=7.5144, ll=-1211862.74, converged=True
theta=1.07e-01: pi=0.5607, mu=7.6447, ll=-1211528.77, converged=True
theta=1.10e-01: pi=0.5682, mu=7.7765, ll=-1211188.50, converged=True
theta=1.12e-01: pi=0.5754, mu=7.9096, ll=-1210841.83, converged=True
theta=1.15e-01: pi=0.5825, mu=8.0440, ll=-1210488.69, converged=True
theta=1.18e-01: pi=0.5895, mu=8.1797, ll=-1210128.99, converged=True
theta=1.20e-01: pi=0.5962, mu=8.3168, ll=-1209762.66, converged=True
theta=1.23e-01: pi=0.6028, mu=8.4550, ll=-1209389.61, converged=True
theta=1.26e-01: pi=0.6093, mu=8.5945, ll=-1209009.75, converged=True
theta=1.29e-01: pi=0.6156, mu=8.7352, ll=-1208623.01, converged=True
theta=1.32e-01: pi=0.6217, mu=8.8771, ll=-1208229.32, converged=True
theta=1.35e-01: pi=0.6277, mu=9.0201, ll=-1207828.59, converged=True
theta=1.38e-01: pi=0.6336, mu=9.1642, ll=-1207420.74, converged=True
theta=1.42e-01: pi=0.6393, mu=9.3094, ll=-1207005.71, converged=True
theta=1.45e-01: pi=0.6448, mu=9.4556, ll=-1206583.42, converged=True
theta=1.48e-01: pi=0.6503, mu=9.6028, ll=-1206153.79, converged=True
theta=1.52e-01: pi=0.6556, mu=9.7509, ll=-1205716.77, converged=True
theta=1.55e-01: pi=0.6608, mu=9.8999, ll=-1205272.28, converged=True
theta=1.59e-01: pi=0.6658, mu=10.0498, ll=-1204820.25, converged=True
theta=1.63e-01: pi=0.6708, mu=10.2005, ll=-1204360.64, converged=True
theta=1.67e-01: pi=0.6756, mu=10.3520, ll=-1203893.36, converged=True
theta=1.70e-01: pi=0.6803, mu=10.5042, ll=-1203418.38, converged=True
theta=1.74e-01: pi=0.6849, mu=10.6570, ll=-1202935.63, converged=True
theta=1.79e-01: pi=0.6894, mu=10.8105, ll=-1202445.06, converged=True
theta=1.83e-01: pi=0.6937, mu=10.9645, ll=-1201946.63, converged=True
theta=1.87e-01: pi=0.6980, mu=11.1191, ll=-1201440.28, converged=True
theta=1.91e-01: pi=0.7021, mu=11.2741, ll=-1200925.99, converged=True
theta=1.96e-01: pi=0.7062, mu=11.4294, ll=-1200403.71, converged=True
theta=2.00e-01: pi=0.7101, mu=11.5851, ll=-1199873.41, converged=True
theta=2.05e-01: pi=0.7140, mu=11.7411, ll=-1199335.06, converged=True
theta=2.10e-01: pi=0.7177, mu=11.8973, ll=-1198788.63, converged=True
theta=2.15e-01: pi=0.7214, mu=12.0536, ll=-1198234.12, converged=True
theta=2.20e-01: pi=0.7250, mu=12.2101, ll=-1197671.49, converged=True
theta=2.25e-01: pi=0.7284, mu=12.3665, ll=-1197100.75, converged=True
theta=2.30e-01: pi=0.7318, mu=12.5229, ll=-1196521.88, converged=True
theta=2.36e-01: pi=0.7351, mu=12.6792, ll=-1195934.90, converged=True
theta=2.41e-01: pi=0.7384, mu=12.8353, ll=-1195339.80, converged=True
theta=2.47e-01: pi=0.7415, mu=12.9911, ll=-1194736.61, converged=True
theta=2.53e-01: pi=0.7446, mu=13.1467, ll=-1194125.33, converged=True
theta=2.59e-01: pi=0.7475, mu=13.3018, ll=-1193506.01, converged=True
theta=2.65e-01: pi=0.7504, mu=13.4565, ll=-1192878.66, converged=True
theta=2.71e-01: pi=0.7533, mu=13.6107, ll=-1192243.33, converged=True
theta=2.77e-01: pi=0.7560, mu=13.7643, ll=-1191600.06, converged=True
theta=2.84e-01: pi=0.7587, mu=13.9172, ll=-1190948.92, converged=True
theta=2.90e-01: pi=0.7613, mu=14.0694, ll=-1190289.97, converged=True
theta=2.97e-01: pi=0.7639, mu=14.2208, ll=-1189623.26, converged=True
theta=3.04e-01: pi=0.7663, mu=14.3714, ll=-1188948.89, converged=True
theta=3.11e-01: pi=0.7687, mu=14.5210, ll=-1188266.95, converged=True
theta=3.18e-01: pi=0.7711, mu=14.6696, ll=-1187577.52, converged=True
theta=3.26e-01: pi=0.7734, mu=14.8171, ll=-1186880.71, converged=True
theta=3.33e-01: pi=0.7756, mu=14.9635, ll=-1186176.63, converged=True
theta=3.41e-01: pi=0.7777, mu=15.1086, ll=-1185465.42, converged=True
theta=3.49e-01: pi=0.7798, mu=15.2525, ll=-1184747.21, converged=True
theta=3.57e-01: pi=0.7819, mu=15.3951, ll=-1184022.13, converged=True
theta=3.66e-01: pi=0.7838, mu=15.5363, ll=-1183290.34, converged=True
theta=3.74e-01: pi=0.7858, mu=15.6760, ll=-1182552.01, converged=True
theta=3.83e-01: pi=0.7876, mu=15.8142, ll=-1181807.30, converged=True
theta=3.92e-01: pi=0.7895, mu=15.9509, ll=-1181056.42, converged=True
theta=4.01e-01: pi=0.7912, mu=16.0859, ll=-1180299.55, converged=True
theta=4.11e-01: pi=0.7930, mu=16.2192, ll=-1179536.89, converged=True
theta=4.20e-01: pi=0.7946, mu=16.3508, ll=-1178768.68, converged=True
theta=4.30e-01: pi=0.7962, mu=16.4806, ll=-1177995.14, converged=True
theta=4.40e-01: pi=0.7978, mu=16.6086, ll=-1177216.51, converged=True
theta=4.51e-01: pi=0.7993, mu=16.7347, ll=-1176433.05, converged=True
theta=4.61e-01: pi=0.8008, mu=16.8588, ll=-1175645.02, converged=True
theta=4.72e-01: pi=0.8022, mu=16.9810, ll=-1174852.71, converged=True
theta=4.83e-01: pi=0.8036, mu=17.1012, ll=-1174056.39, converged=True
theta=4.94e-01: pi=0.8050, mu=17.2194, ll=-1173256.38, converged=True
theta=5.06e-01: pi=0.8063, mu=17.3354, ll=-1172453.00, converged=True
theta=5.18e-01: pi=0.8075, mu=17.4494, ll=-1171646.56, converged=True
theta=5.30e-01: pi=0.8088, mu=17.5612, ll=-1170837.41, converged=True
theta=5.42e-01: pi=0.8100, mu=17.6708, ll=-1170025.90, converged=True
theta=5.55e-01: pi=0.8111, mu=17.7783, ll=-1169212.40, converged=True
theta=5.68e-01: pi=0.8122, mu=17.8835, ll=-1168397.29, converged=True
theta=5.81e-01: pi=0.8133, mu=17.9866, ll=-1167580.96, converged=True
theta=5.95e-01: pi=0.8143, mu=18.0873, ll=-1166763.80, converged=True
theta=6.09e-01: pi=0.8153, mu=18.1858, ll=-1165946.24, converged=True
theta=6.23e-01: pi=0.8163, mu=18.2821, ll=-1165128.70, converged=True
theta=6.38e-01: pi=0.8173, mu=18.3760, ll=-1164311.63, converged=True
theta=6.52e-01: pi=0.8182, mu=18.4677, ll=-1163495.47, converged=True
theta=6.68e-01: pi=0.8190, mu=18.5571, ll=-1162680.69, converged=True
theta=6.83e-01: pi=0.8199, mu=18.6441, ll=-1161867.78, converged=True
theta=6.99e-01: pi=0.8207, mu=18.7289, ll=-1161057.20, converged=True
theta=7.16e-01: pi=0.8215, mu=18.8115, ll=-1160249.47, converged=True
theta=7.32e-01: pi=0.8222, mu=18.8917, ll=-1159445.10, converged=True
theta=7.50e-01: pi=0.8230, mu=18.9697, ll=-1158644.60, converged=True
theta=7.67e-01: pi=0.8237, mu=19.0455, ll=-1157848.51, converged=True
theta=7.85e-01: pi=0.8244, mu=19.1190, ll=-1157057.38, converged=True
theta=8.04e-01: pi=0.8250, mu=19.1903, ll=-1156271.75, converged=True
theta=8.22e-01: pi=0.8256, mu=19.2593, ll=-1155492.19, converged=True
theta=8.42e-01: pi=0.8262, mu=19.3263, ll=-1154719.27, converged=True
theta=8.61e-01: pi=0.8268, mu=19.3910, ll=-1153953.57, converged=True
theta=8.81e-01: pi=0.8274, mu=19.4537, ll=-1153195.69, converged=True
theta=9.02e-01: pi=0.8279, mu=19.5142, ll=-1152446.22, converged=True
theta=9.23e-01: pi=0.8284, mu=19.5727, ll=-1151705.77, converged=True
theta=9.45e-01: pi=0.8289, mu=19.6291, ll=-1150974.95, converged=True
theta=9.67e-01: pi=0.8294, mu=19.6835, ll=-1150254.39, converged=True
theta=9.90e-01: pi=0.8298, mu=19.7360, ll=-1149544.71, converged=True
theta=1.01e+00: pi=0.8303, mu=19.7865, ll=-1148846.54, converged=True
theta=1.04e+00: pi=0.8307, mu=19.8351, ll=-1148160.53, converged=True
theta=1.06e+00: pi=0.8311, mu=19.8818, ll=-1147487.32, converged=True
theta=1.09e+00: pi=0.8315, mu=19.9267, ll=-1146827.56, converged=True
theta=1.11e+00: pi=0.8318, mu=19.9699, ll=-1146181.90, converged=True
theta=1.14e+00: pi=0.8322, mu=20.0113, ll=-1145551.00, converged=True
theta=1.16e+00: pi=0.8325, mu=20.0509, ll=-1144935.52, converged=True
theta=1.19e+00: pi=0.8328, mu=20.0890, ll=-1144336.12, converged=True
theta=1.22e+00: pi=0.8331, mu=20.1254, ll=-1143753.47, converged=True
theta=1.25e+00: pi=0.8334, mu=20.1602, ll=-1143188.23, converged=True
theta=1.28e+00: pi=0.8337, mu=20.1935, ll=-1142641.06, converged=True
theta=1.31e+00: pi=0.8340, mu=20.2253, ll=-1142112.64, converged=True
theta=1.34e+00: pi=0.8342, mu=20.2556, ll=-1141603.63, converged=True
theta=1.37e+00: pi=0.8344, mu=20.2846, ll=-1141114.70, converged=True
theta=1.40e+00: pi=0.8347, mu=20.3122, ll=-1140646.51, converged=True
theta=1.43e+00: pi=0.8349, mu=20.3384, ll=-1140199.72, converged=True
theta=1.47e+00: pi=0.8351, mu=20.3634, ll=-1139774.99, converged=True
theta=1.50e+00: pi=0.8353, mu=20.3872, ll=-1139372.98, converged=True
theta=1.54e+00: pi=0.8355, mu=20.4098, ll=-1138994.33, converged=True
theta=1.57e+00: pi=0.8356, mu=20.4312, ll=-1138639.71, converged=True
theta=1.61e+00: pi=0.8358, mu=20.4516, ll=-1138309.75, converged=True
theta=1.65e+00: pi=0.8360, mu=20.4709, ll=-1138005.09, converged=True
theta=1.69e+00: pi=0.8361, mu=20.4891, ll=-1137726.37, converged=True
theta=1.72e+00: pi=0.8362, mu=20.5064, ll=-1137474.21, converged=True
theta=1.76e+00: pi=0.8364, mu=20.5228, ll=-1137249.22, converged=True
theta=1.81e+00: pi=0.8365, mu=20.5382, ll=-1137052.04, converged=True
theta=1.85e+00: pi=0.8366, mu=20.5528, ll=-1136883.25, converged=True
theta=1.89e+00: pi=0.8367, mu=20.5665, ll=-1136743.46, converged=True
theta=1.94e+00: pi=0.8368, mu=20.5795, ll=-1136633.26, converged=True
theta=1.98e+00: pi=0.8369, mu=20.5917, ll=-1136553.22, converged=True
theta=2.03e+00: pi=0.8370, mu=20.6032, ll=-1136503.92, converged=True
theta=2.08e+00: pi=0.8371, mu=20.6140, ll=-1136485.91, converged=True
theta=2.12e+00: pi=0.8372, mu=20.6241, ll=-1136499.76, converged=True
theta=2.17e+00: pi=0.8372, mu=20.6337, ll=-1136545.99, converged=True
theta=2.22e+00: pi=0.8373, mu=20.6426, ll=-1136625.14, converged=True
theta=2.28e+00: pi=0.8374, mu=20.6510, ll=-1136737.73, converged=True
theta=2.33e+00: pi=0.8374, mu=20.6588, ll=-1136884.26, converged=True
theta=2.38e+00: pi=0.8375, mu=20.6662, ll=-1137065.23, converged=True
theta=2.44e+00: pi=0.8376, mu=20.6731, ll=-1137281.13, converged=True
theta=2.50e+00: pi=0.8376, mu=20.6795, ll=-1137532.41, converged=True
theta=2.56e+00: pi=0.8377, mu=20.6855, ll=-1137819.54, converged=True
theta=2.62e+00: pi=0.8377, mu=20.6910, ll=-1138142.97, converged=True
theta=2.68e+00: pi=0.8377, mu=20.6962, ll=-1138503.12, converged=True
theta=2.74e+00: pi=0.8378, mu=20.7011, ll=-1138900.42, converged=True
theta=2.80e+00: pi=0.8378, mu=20.7056, ll=-1139335.26, converged=True
theta=2.87e+00: pi=0.8378, mu=20.7098, ll=-1139808.04, converged=True
theta=2.94e+00: pi=0.8379, mu=20.7137, ll=-1140319.14, converged=True
theta=3.01e+00: pi=0.8379, mu=20.7173, ll=-1140868.90, converged=True
theta=3.08e+00: pi=0.8379, mu=20.7207, ll=-1141457.69, converged=True
theta=3.15e+00: pi=0.8380, mu=20.7238, ll=-1142085.83, converged=True
theta=3.22e+00: pi=0.8380, mu=20.7266, ll=-1142753.63, converged=True
theta=3.30e+00: pi=0.8380, mu=20.7293, ll=-1143461.40, converged=True
theta=3.37e+00: pi=0.8380, mu=20.7318, ll=-1144209.43, converged=True
theta=3.45e+00: pi=0.8380, mu=20.7340, ll=-1144997.97, converged=True
theta=3.53e+00: pi=0.8381, mu=20.7361, ll=-1145827.29, converged=True
theta=3.62e+00: pi=0.8381, mu=20.7381, ll=-1146697.62, converged=True
theta=3.70e+00: pi=0.8381, mu=20.7399, ll=-1147609.18, converged=True
theta=3.79e+00: pi=0.8381, mu=20.7415, ll=-1148562.17, converged=True
theta=3.88e+00: pi=0.8381, mu=20.7430, ll=-1149556.78, converged=True
theta=3.97e+00: pi=0.8381, mu=20.7444, ll=-1150593.18, converged=True
theta=4.06e+00: pi=0.8381, mu=20.7457, ll=-1151671.52, converged=True
theta=4.15e+00: pi=0.8381, mu=20.7469, ll=-1152791.93, converged=True
theta=4.25e+00: pi=0.8381, mu=20.7479, ll=-1153954.53, converged=True
theta=4.35e+00: pi=0.8382, mu=20.7489, ll=-1155159.42, converged=True
theta=4.45e+00: pi=0.8382, mu=20.7498, ll=-1156406.68, converged=True
theta=4.56e+00: pi=0.8382, mu=20.7507, ll=-1157696.36, converged=True
theta=4.66e+00: pi=0.8382, mu=20.7514, ll=-1159028.52, converged=True
theta=4.77e+00: pi=0.8382, mu=20.7521, ll=-1160403.18, converged=True
theta=4.89e+00: pi=0.8382, mu=20.7528, ll=-1161820.33, converged=True
theta=5.00e+00: pi=0.8382, mu=20.7533, ll=-1163279.97, converged=True

Best theta: 2.08e+00 with ll=-1136485.91
Final parameters: pi=0.8371, mu=20.6140, theta=2.0752
Estimated global theta: 2.0752
(Estimated global pi: 0.8371, mu: 20.6140)
Using global theta: 2.0752 for all window sizes and thresholds.
Using 4 workers to process 4 window sizes in parallel
Processing window size: 80, threshold: 0.50
Processing window size: 80, threshold: 1.34
Processing window size: 80, threshold: 2.19
Processing window size: 80, threshold: 3.03
Processing window size: 80, threshold: 3.88
Processing window size: 80, threshold: 4.72
Processing window size: 80, threshold: 5.57
Processing window size: 80, threshold: 6.41
Processing window size: 80, threshold: 7.26
Processing window size: 80, threshold: 8.10
Processing window size: 80, threshold: 8.95
Processing window size: 80, threshold: 9.79
Processing window size: 80, threshold: 10.64
Processing window size: 80, threshold: 11.48
Processing window size: 80, threshold: 12.33
Processing window size: 80, threshold: 13.17
Processing window size: 80, threshold: 14.02
Processing window size: 80, threshold: 14.86
Processing window size: 80, threshold: 15.71
Processing window size: 80, threshold: 16.55
Processing window size: 80, threshold: 17.40
Processing window size: 80, threshold: 18.24
Processing window size: 80, threshold: 19.09
Processing window size: 80, threshold: 19.93
Processing window size: 80, threshold: 20.78
Processing window size: 80, threshold: 21.62
Processing window size: 80, threshold: 22.47
Processing window size: 80, threshold: 23.31
Processing window size: 80, threshold: 24.16
Processing window size: 80, threshold: 25.00
Processing window size: 50, threshold: 0.50
Processing window size: 50, threshold: 1.34
Processing window size: 50, threshold: 2.19
Processing window size: 50, threshold: 3.03
Processing window size: 50, threshold: 3.88
Processing window size: 50, threshold: 4.72
Processing window size: 50, threshold: 5.57
Processing window size: 50, threshold: 6.41
Processing window size: 50, threshold: 7.26
Processing window size: 50, threshold: 8.10
Processing window size: 50, threshold: 8.95
Processing window size: 50, threshold: 9.79
Processing window size: 50, threshold: 10.64
Processing window size: 50, threshold: 11.48
Processing window size: 50, threshold: 12.33
Processing window size: 50, threshold: 13.17
Processing window size: 50, threshold: 14.02
Processing window size: 50, threshold: 14.86
Processing window size: 50, threshold: 15.71
Processing window size: 50, threshold: 16.55
Processing window size: 50, threshold: 17.40
Processing window size: 50, threshold: 18.24
Processing window size: 50, threshold: 19.09
Processing window size: 50, threshold: 19.93
Processing window size: 50, threshold: 20.78
Processing window size: 50, threshold: 21.62
Processing window size: 50, threshold: 22.47
Processing window size: 50, threshold: 23.31
Processing window size: 50, threshold: 24.16
Processing window size: 50, threshold: 25.00
Processing window size: 10, threshold: 0.50
Processing window size: 10, threshold: 1.34
Processing window size: 10, threshold: 2.19
Processing window size: 10, threshold: 3.03
Processing window size: 10, threshold: 3.88
Processing window size: 10, threshold: 4.72
Processing window size: 10, threshold: 5.57
Processing window size: 10, threshold: 6.41
Processing window size: 10, threshold: 7.26
Processing window size: 10, threshold: 8.10
Processing window size: 10, threshold: 8.95
Processing window size: 10, threshold: 9.79
Processing window size: 10, threshold: 10.64
Processing window size: 10, threshold: 11.48
Processing window size: 10, threshold: 12.33
Processing window size: 10, threshold: 13.17
Processing window size: 10, threshold: 14.02
Processing window size: 10, threshold: 14.86
Processing window size: 10, threshold: 15.71
Processing window size: 10, threshold: 16.55
Processing window size: 10, threshold: 17.40
Processing window size: 10, threshold: 18.24
Processing window size: 10, threshold: 19.09
Processing window size: 10, threshold: 19.93
Processing window size: 10, threshold: 20.78
Processing window size: 10, threshold: 21.62
Processing window size: 10, threshold: 22.47
Processing window size: 10, threshold: 23.31
Processing window size: 10, threshold: 24.16
Processing window size: 10, threshold: 25.00
Processing window size: 30, threshold: 0.50
Processing window size: 30, threshold: 1.34
Processing window size: 30, threshold: 2.19
Processing window size: 30, threshold: 3.03
Processing window size: 30, threshold: 3.88
Processing window size: 30, threshold: 4.72
Processing window size: 30, threshold: 5.57
Processing window size: 30, threshold: 6.41
Processing window size: 30, threshold: 7.26
Processing window size: 30, threshold: 8.10
Processing window size: 30, threshold: 8.95
Processing window size: 30, threshold: 9.79
Processing window size: 30, threshold: 10.64
Processing window size: 30, threshold: 11.48
Processing window size: 30, threshold: 12.33
Processing window size: 30, threshold: 13.17
Processing window size: 30, threshold: 14.02
Processing window size: 30, threshold: 14.86
Processing window size: 30, threshold: 15.71
Processing window size: 30, threshold: 16.55
Processing window size: 30, threshold: 17.40
Processing window size: 30, threshold: 18.24
Processing window size: 30, threshold: 19.09
Processing window size: 30, threshold: 19.93
Processing window size: 30, threshold: 20.78
Processing window size: 30, threshold: 21.62
Processing window size: 30, threshold: 22.47
Processing window size: 30, threshold: 23.31
Processing window size: 30, threshold: 24.16
Processing window size: 30, threshold: 25.00
Completed processing window size: 80
Completed processing window size: 10
Completed processing window size: 30
Completed processing window size: 50
Finished processing realistic_data
