Task 1: Training ZINBVAE
Device: cuda
Loading training data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_train_data.npy
Loading test data from: Data/processed_data/BinSize10_MovingAvgFalse_ZINB_test_data.npy
Number of training samples: 14824
============================================================
TRAINING ZINB VARIATIONAL AUTOENCODER (ZINBVAE)
============================================================
Epoch [1/100], Total Loss: 1.9958, Recon: 1.9874, KL: 0.0084
Epoch [31/100], Total Loss: 1.8186, Recon: 1.8120, KL: 0.0066
Epoch [32/100], Total Loss: 1.8167, Recon: 1.8100, KL: 0.0067
Epoch [33/100], Total Loss: 1.8165, Recon: 1.8098, KL: 0.0068
Epoch [34/100], Total Loss: 1.8133, Recon: 1.8065, KL: 0.0068
Epoch [35/100], Total Loss: 1.8133, Recon: 1.8066, KL: 0.0068
Epoch [36/100], Total Loss: 1.8134, Recon: 1.8067, KL: 0.0068
Epoch [37/100], Total Loss: 1.8111, Recon: 1.8043, KL: 0.0068
Epoch [38/100], Total Loss: 1.8084, Recon: 1.8016, KL: 0.0068
Epoch [39/100], Total Loss: 1.8066, Recon: 1.7996, KL: 0.0069
Epoch [40/100], Total Loss: 1.8066, Recon: 1.7995, KL: 0.0071
Epoch [41/100], Total Loss: 1.8025, Recon: 1.7953, KL: 0.0073
Epoch [42/100], Total Loss: 1.8039, Recon: 1.7964, KL: 0.0075
Epoch [43/100], Total Loss: 1.8002, Recon: 1.7925, KL: 0.0077
Epoch [44/100], Total Loss: 1.7991, Recon: 1.7912, KL: 0.0078
Epoch [45/100], Total Loss: 1.7969, Recon: 1.7891, KL: 0.0079
Epoch [46/100], Total Loss: 1.7958, Recon: 1.7878, KL: 0.0080
Epoch [47/100], Total Loss: 1.7939, Recon: 1.7858, KL: 0.0081
Epoch [48/100], Total Loss: 1.7910, Recon: 1.7828, KL: 0.0082
Epoch [49/100], Total Loss: 1.7902, Recon: 1.7820, KL: 0.0081
Epoch [50/100], Total Loss: 1.7881, Recon: 1.7800, KL: 0.0081
Epoch [51/100], Total Loss: 1.7869, Recon: 1.7788, KL: 0.0081
Epoch [52/100], Total Loss: 1.7852, Recon: 1.7771, KL: 0.0081
Epoch [53/100], Total Loss: 1.7837, Recon: 1.7756, KL: 0.0081
Epoch [54/100], Total Loss: 1.7834, Recon: 1.7753, KL: 0.0081
Epoch [55/100], Total Loss: 1.7814, Recon: 1.7733, KL: 0.0082
Epoch [56/100], Total Loss: 1.7805, Recon: 1.7722, KL: 0.0082
Epoch [57/100], Total Loss: 1.7791, Recon: 1.7709, KL: 0.0082
Epoch [58/100], Total Loss: 1.7775, Recon: 1.7692, KL: 0.0083
Epoch [59/100], Total Loss: 1.7765, Recon: 1.7682, KL: 0.0083
Epoch [60/100], Total Loss: 1.7753, Recon: 1.7669, KL: 0.0084
Epoch [61/100], Total Loss: 1.7752, Recon: 1.7668, KL: 0.0084
Epoch [62/100], Total Loss: 1.7729, Recon: 1.7645, KL: 0.0084
Epoch [63/100], Total Loss: 1.7734, Recon: 1.7649, KL: 0.0085
Epoch [64/100], Total Loss: 1.7714, Recon: 1.7629, KL: 0.0085
Epoch [65/100], Total Loss: 1.7699, Recon: 1.7614, KL: 0.0085
Epoch [66/100], Total Loss: 1.7691, Recon: 1.7605, KL: 0.0086
Epoch [67/100], Total Loss: 1.7696, Recon: 1.7610, KL: 0.0086
Epoch [68/100], Total Loss: 1.7676, Recon: 1.7590, KL: 0.0087
Epoch [69/100], Total Loss: 1.7666, Recon: 1.7579, KL: 0.0087
Epoch [70/100], Total Loss: 1.7652, Recon: 1.7565, KL: 0.0087
Epoch [71/100], Total Loss: 1.7678, Recon: 1.7590, KL: 0.0088
Epoch [72/100], Total Loss: 1.7658, Recon: 1.7570, KL: 0.0088
Epoch [73/100], Total Loss: 1.7629, Recon: 1.7542, KL: 0.0088
Epoch [74/100], Total Loss: 1.7625, Recon: 1.7537, KL: 0.0088
Epoch [75/100], Total Loss: 1.7609, Recon: 1.7520, KL: 0.0088
Epoch [76/100], Total Loss: 1.7603, Recon: 1.7514, KL: 0.0089
Epoch [77/100], Total Loss: 1.7605, Recon: 1.7516, KL: 0.0089
Epoch [78/100], Total Loss: 1.7591, Recon: 1.7502, KL: 0.0089
Epoch [79/100], Total Loss: 1.7629, Recon: 1.7539, KL: 0.0090
Epoch [80/100], Total Loss: 1.7580, Recon: 1.7490, KL: 0.0090
Epoch [81/100], Total Loss: 1.7568, Recon: 1.7478, KL: 0.0090
Epoch [82/100], Total Loss: 1.7564, Recon: 1.7474, KL: 0.0090
Epoch [83/100], Total Loss: 1.7552, Recon: 1.7461, KL: 0.0090
Epoch [84/100], Total Loss: 1.7543, Recon: 1.7452, KL: 0.0091
Epoch [85/100], Total Loss: 1.7534, Recon: 1.7443, KL: 0.0091
Epoch [86/100], Total Loss: 1.7530, Recon: 1.7439, KL: 0.0091
Epoch [87/100], Total Loss: 1.7523, Recon: 1.7432, KL: 0.0091
Epoch [88/100], Total Loss: 1.7526, Recon: 1.7434, KL: 0.0092
Epoch [89/100], Total Loss: 1.7522, Recon: 1.7430, KL: 0.0092
Epoch [90/100], Total Loss: 1.7548, Recon: 1.7455, KL: 0.0093
Epoch [91/100], Total Loss: 1.7509, Recon: 1.7417, KL: 0.0092
Epoch [92/100], Total Loss: 1.7488, Recon: 1.7396, KL: 0.0092
Epoch [93/100], Total Loss: 1.7512, Recon: 1.7419, KL: 0.0093
Epoch [94/100], Total Loss: 1.7484, Recon: 1.7390, KL: 0.0093
Epoch [95/100], Total Loss: 1.7474, Recon: 1.7381, KL: 0.0093
Epoch [96/100], Total Loss: 1.7462, Recon: 1.7369, KL: 0.0093
Epoch [97/100], Total Loss: 1.7462, Recon: 1.7368, KL: 0.0093
Epoch [98/100], Total Loss: 1.7457, Recon: 1.7363, KL: 0.0094
Epoch [99/100], Total Loss: 1.7506, Recon: 1.7411, KL: 0.0095
Epoch [100/100], Total Loss: 1.7486, Recon: 1.7391, KL: 0.0094
Training loss plots saved to /workspace/AE/results/training/trial2/
Training losses saved to /workspace/AE/results/training/trial2/trial2_ZINBVAE_20260116_120248_conv_training_losses.json

==================================================
EVALUATING ON TRAINING DATA
==================================================
