Running sliding ZINB CPD on dataset: pretty_data
Input file: Signal_processing/sample_data/pretty_data.csv
[ 0.5         1.34482759  2.18965517  3.03448276  3.87931034  4.72413793
  5.56896552  6.4137931   7.25862069  8.10344828  8.94827586  9.79310345
 10.63793103 11.48275862 12.32758621 13.17241379 14.01724138 14.86206897
 15.70689655 16.55172414 17.39655172 18.24137931 19.0862069  19.93103448
 20.77586207 21.62068966 22.46551724 23.31034483 24.15517241 25.        ]
theta=5.00e-02: pi=0.0000, mu=20.3843, ll=-6099521.95, converged=True
theta=1.67e-01: pi=0.0000, mu=20.3843, ll=-5132364.81, converged=True
theta=1.70e-01: pi=0.0000, mu=20.3843, ll=-5115844.01, converged=True
theta=1.74e-01: pi=0.0000, mu=20.3843, ll=-5099415.44, converged=True
theta=1.79e-01: pi=0.0000, mu=20.3843, ll=-5083079.87, converged=True
theta=1.83e-01: pi=0.0000, mu=20.3843, ll=-5066838.07, converged=True
theta=1.87e-01: pi=0.0000, mu=20.3843, ll=-5050690.82, converged=True
theta=1.91e-01: pi=0.0000, mu=20.3843, ll=-5034638.88, converged=True
theta=1.96e-01: pi=0.0000, mu=20.3843, ll=-5018683.02, converged=True
theta=2.00e-01: pi=0.0000, mu=20.3843, ll=-5002824.01, converged=True
theta=2.05e-01: pi=0.0000, mu=20.3843, ll=-4987062.61, converged=True
theta=2.10e-01: pi=0.0000, mu=20.3843, ll=-4971399.60, converged=True
theta=2.15e-01: pi=0.0000, mu=20.3843, ll=-4955835.74, converged=True
theta=2.20e-01: pi=0.0000, mu=20.3843, ll=-4940371.79, converged=True
theta=2.25e-01: pi=0.0000, mu=20.3843, ll=-4925008.53, converged=True
theta=2.30e-01: pi=0.0000, mu=20.3843, ll=-4909746.71, converged=True
theta=2.36e-01: pi=0.0000, mu=20.3843, ll=-4894587.11, converged=True
theta=2.41e-01: pi=0.0000, mu=20.3843, ll=-4879530.49, converged=True
theta=2.47e-01: pi=0.0000, mu=20.3843, ll=-4864577.63, converged=True
theta=2.53e-01: pi=0.0000, mu=20.3843, ll=-4849729.27, converged=True
theta=2.59e-01: pi=0.0000, mu=20.3843, ll=-4834986.20, converged=True
theta=2.65e-01: pi=0.0000, mu=20.3843, ll=-4820349.19, converged=True
theta=2.71e-01: pi=0.0000, mu=20.3843, ll=-4805818.99, converged=True
theta=2.77e-01: pi=0.0000, mu=20.3843, ll=-4791396.38, converged=True
theta=2.84e-01: pi=0.0000, mu=20.3843, ll=-4777082.13, converged=True
theta=2.90e-01: pi=0.0000, mu=20.3843, ll=-4762877.02, converged=True
theta=2.97e-01: pi=0.0000, mu=20.3843, ll=-4748781.81, converged=True
theta=3.04e-01: pi=0.0000, mu=20.3843, ll=-4734797.29, converged=True
theta=3.11e-01: pi=0.0000, mu=20.3843, ll=-4720924.18, converged=True
theta=3.18e-01: pi=0.0000, mu=20.3843, ll=-4707163.36, converged=True
theta=3.26e-01: pi=0.0000, mu=20.3843, ll=-4693515.56, converged=True
theta=3.33e-01: pi=0.0000, mu=20.3843, ll=-4679981.58, converged=True
theta=3.41e-01: pi=0.0000, mu=20.3843, ll=-4666562.19, converged=True
theta=3.49e-01: pi=0.0000, mu=20.3843, ll=-4653258.19, converged=True
theta=3.57e-01: pi=0.0000, mu=20.3843, ll=-4640070.38, converged=True
theta=3.66e-01: pi=0.0000, mu=20.3843, ll=-4626999.56, converged=True
theta=3.74e-01: pi=0.0000, mu=20.3843, ll=-4614046.54, converged=True
theta=3.83e-01: pi=0.0000, mu=20.3843, ll=-4601212.12, converged=True
theta=3.92e-01: pi=0.0000, mu=20.3843, ll=-4588497.11, converged=True
theta=4.01e-01: pi=0.0000, mu=20.3843, ll=-4575902.35, converged=True
theta=4.11e-01: pi=0.0000, mu=20.3843, ll=-4563428.65, converged=True
theta=4.20e-01: pi=0.0000, mu=20.3843, ll=-4551076.84, converged=True
theta=4.30e-01: pi=0.0000, mu=20.3843, ll=-4538847.78, converged=True
theta=4.40e-01: pi=0.0000, mu=20.3843, ll=-4526742.29, converged=True
theta=4.51e-01: pi=0.0000, mu=20.3843, ll=-4514761.25, converged=True
theta=4.61e-01: pi=0.0000, mu=20.3843, ll=-4502905.50, converged=True
theta=4.72e-01: pi=0.0000, mu=20.3843, ll=-4491175.92, converged=True
theta=4.83e-01: pi=0.0000, mu=20.3843, ll=-4479573.38, converged=True
theta=4.94e-01: pi=0.0000, mu=20.3843, ll=-4468098.78, converged=True
theta=5.06e-01: pi=0.0000, mu=20.3843, ll=-4456753.02, converged=True
theta=5.18e-01: pi=0.0000, mu=20.3843, ll=-4445536.99, converged=True
theta=5.30e-01: pi=0.0000, mu=20.3843, ll=-4434451.62, converged=True
theta=5.42e-01: pi=0.0000, mu=20.3843, ll=-4423497.83, converged=True
theta=5.55e-01: pi=0.0000, mu=20.3843, ll=-4412676.57, converged=True
theta=5.68e-01: pi=0.0000, mu=20.3843, ll=-4401988.78, converged=True
theta=5.81e-01: pi=0.0000, mu=20.3843, ll=-4391435.43, converged=True
theta=5.95e-01: pi=0.0000, mu=20.3843, ll=-4381017.40, converged=True
theta=6.09e-01: pi=0.0000, mu=20.3843, ll=-4370735.84, converged=True
theta=6.23e-01: pi=0.0000, mu=20.3843, ll=-4360591.69, converged=True
theta=6.38e-01: pi=0.0000, mu=20.3843, ll=-4350585.95, converged=True
theta=6.52e-01: pi=0.0000, mu=20.3843, ll=-4340719.65, converged=True
theta=6.68e-01: pi=0.0000, mu=20.3843, ll=-4330993.83, converged=True
theta=6.83e-01: pi=0.0000, mu=20.3843, ll=-4321409.56, converged=True
theta=6.99e-01: pi=0.0000, mu=20.3843, ll=-4311967.89, converged=True
theta=7.16e-01: pi=0.0000, mu=20.3843, ll=-4302669.92, converged=True
theta=7.32e-01: pi=0.0000, mu=20.3843, ll=-4293516.76, converged=True
theta=7.50e-01: pi=0.0000, mu=20.3843, ll=-4284509.51, converged=True
theta=7.67e-01: pi=0.0000, mu=20.3843, ll=-4275649.31, converged=True
theta=7.85e-01: pi=0.0000, mu=20.3843, ll=-4266937.31, converged=True
theta=8.04e-01: pi=0.0000, mu=20.3843, ll=-4258374.52, converged=True
theta=8.22e-01: pi=0.0000, mu=20.3843, ll=-4249962.39, converged=True
theta=8.42e-01: pi=0.0000, mu=20.3843, ll=-4241702.01, converged=True
theta=8.61e-01: pi=0.0000, mu=20.3843, ll=-4233594.58, converged=True
theta=8.81e-01: pi=0.0000, mu=20.3843, ll=-4225641.34, converged=True
theta=9.02e-01: pi=0.0000, mu=20.3843, ll=-4217843.53, converged=True
theta=9.23e-01: pi=0.0000, mu=20.3843, ll=-4210202.43, converged=True
theta=9.45e-01: pi=0.0000, mu=20.3843, ll=-4202719.10, converged=True
theta=9.67e-01: pi=0.0000, mu=20.3843, ll=-4195395.20, converged=True
theta=9.90e-01: pi=0.0000, mu=20.3843, ll=-4188231.89, converged=True
theta=1.01e+00: pi=0.0000, mu=20.3843, ll=-4181230.50, converged=True
theta=1.04e+00: pi=0.0000, mu=20.3843, ll=-4174392.39, converged=True
theta=1.06e+00: pi=0.0000, mu=20.3843, ll=-4167718.65, converged=True
theta=1.09e+00: pi=0.0000, mu=20.3843, ll=-4161211.11, converged=True
theta=1.11e+00: pi=0.0000, mu=20.3843, ll=-4154870.97, converged=True
theta=1.14e+00: pi=0.0000, mu=20.3843, ll=-4148699.41, converged=True
theta=1.16e+00: pi=0.0000, mu=20.3843, ll=-4142698.25, converged=True
theta=1.19e+00: pi=0.0000, mu=20.3843, ll=-4136868.78, converged=True
theta=1.22e+00: pi=0.0000, mu=20.3843, ll=-4131212.14, converged=True
theta=1.25e+00: pi=0.0000, mu=20.3843, ll=-4125730.32, converged=True
theta=1.28e+00: pi=0.0000, mu=20.3843, ll=-4120424.29, converged=True
theta=1.31e+00: pi=0.0000, mu=20.3843, ll=-4115296.06, converged=True
theta=1.34e+00: pi=0.0000, mu=20.3843, ll=-4110346.57, converged=True
theta=1.37e+00: pi=0.0000, mu=20.3843, ll=-4105577.64, converged=True
theta=1.40e+00: pi=0.0000, mu=20.3843, ll=-4100990.78, converged=True
theta=1.43e+00: pi=0.0000, mu=20.3843, ll=-4096587.54, converged=True
theta=1.47e+00: pi=0.0000, mu=20.3843, ll=-4092369.20, converged=True
theta=1.50e+00: pi=0.0000, mu=20.3843, ll=-4088337.60, converged=True
theta=1.54e+00: pi=0.0000, mu=20.3843, ll=-4084494.11, converged=True
theta=1.57e+00: pi=0.0000, mu=20.3843, ll=-4080840.54, converged=True
theta=1.61e+00: pi=0.0000, mu=20.3843, ll=-4077378.18, converged=True
theta=1.65e+00: pi=0.0000, mu=20.3844, ll=-4074108.58, converged=True
theta=1.69e+00: pi=0.0000, mu=20.3845, ll=-4071033.48, converged=True
theta=1.72e+00: pi=0.0001, mu=20.3856, ll=-4068154.24, converged=False
theta=1.76e+00: pi=0.0007, mu=20.3981, ll=-4065452.72, converged=True
theta=1.81e+00: pi=0.0014, mu=20.4134, ll=-4062898.43, converged=True
theta=1.85e+00: pi=0.0021, mu=20.4279, ll=-4060493.10, converged=True
theta=1.89e+00: pi=0.0028, mu=20.4417, ll=-4058240.10, converged=True
theta=1.94e+00: pi=0.0034, mu=20.4546, ll=-4056142.76, converged=True
theta=1.98e+00: pi=0.0040, mu=20.4668, ll=-4054204.38, converged=True
theta=2.03e+00: pi=0.0046, mu=20.4784, ll=-4052428.17, converged=True
theta=2.08e+00: pi=0.0051, mu=20.4892, ll=-4050817.33, converged=True
theta=2.12e+00: pi=0.0056, mu=20.4994, ll=-4049374.97, converged=True
theta=2.17e+00: pi=0.0061, mu=20.5089, ll=-4048104.14, converged=True
theta=2.22e+00: pi=0.0065, mu=20.5179, ll=-4047007.84, converged=True
theta=2.28e+00: pi=0.0069, mu=20.5263, ll=-4046089.01, converged=True
theta=2.33e+00: pi=0.0073, mu=20.5341, ll=-4045350.51, converged=True
theta=2.38e+00: pi=0.0077, mu=20.5415, ll=-4044795.13, converged=True
theta=2.44e+00: pi=0.0080, mu=20.5484, ll=-4044425.62, converged=True
theta=2.50e+00: pi=0.0083, mu=20.5548, ll=-4044244.62, converged=True
theta=2.56e+00: pi=0.0086, mu=20.5608, ll=-4044254.73, converged=True
theta=2.62e+00: pi=0.0089, mu=20.5665, ll=-4044458.45, converged=True
theta=2.68e+00: pi=0.0091, mu=20.5717, ll=-4044858.23, converged=True
theta=2.74e+00: pi=0.0093, mu=20.5765, ll=-4045456.41, converged=True
theta=2.80e+00: pi=0.0096, mu=20.5811, ll=-4046255.29, converged=True
theta=2.87e+00: pi=0.0098, mu=20.5853, ll=-4047257.06, converged=True
theta=2.94e+00: pi=0.0100, mu=20.5892, ll=-4048463.85, converged=True
theta=3.01e+00: pi=0.0101, mu=20.5929, ll=-4049877.69, converged=True
theta=3.08e+00: pi=0.0103, mu=20.5962, ll=-4051500.54, converged=True
theta=3.15e+00: pi=0.0104, mu=20.5994, ll=-4053334.27, converged=True
theta=3.22e+00: pi=0.0106, mu=20.6023, ll=-4055380.66, converged=True
theta=3.30e+00: pi=0.0107, mu=20.6049, ll=-4057641.42, converged=True
theta=3.37e+00: pi=0.0108, mu=20.6074, ll=-4060118.14, converged=True
theta=3.45e+00: pi=0.0109, mu=20.6097, ll=-4062812.36, converged=True
theta=3.53e+00: pi=0.0110, mu=20.6118, ll=-4065725.51, converged=True
theta=3.62e+00: pi=0.0111, mu=20.6138, ll=-4068858.92, converged=True
theta=3.70e+00: pi=0.0112, mu=20.6156, ll=-4072213.83, converged=True
theta=3.79e+00: pi=0.0113, mu=20.6172, ll=-4075791.42, converged=True
theta=3.88e+00: pi=0.0114, mu=20.6188, ll=-4079592.72, converged=True
theta=3.97e+00: pi=0.0114, mu=20.6202, ll=-4083618.72, converged=True
theta=4.06e+00: pi=0.0115, mu=20.6215, ll=-4087870.27, converged=True
theta=4.15e+00: pi=0.0116, mu=20.6226, ll=-4092348.15, converged=True
theta=4.25e+00: pi=0.0116, mu=20.6237, ll=-4097053.02, converged=True
theta=4.35e+00: pi=0.0117, mu=20.6247, ll=-4101985.47, converged=True
theta=4.45e+00: pi=0.0117, mu=20.6257, ll=-4107145.95, converged=True
theta=4.56e+00: pi=0.0117, mu=20.6265, ll=-4112534.84, converged=True
theta=4.66e+00: pi=0.0118, mu=20.6273, ll=-4118152.41, converged=True
theta=4.77e+00: pi=0.0118, mu=20.6280, ll=-4123998.82, converged=True
theta=4.89e+00: pi=0.0118, mu=20.6286, ll=-4130074.13, converged=True
theta=5.00e+00: pi=0.0119, mu=20.6292, ll=-4136378.29, converged=True

Best theta: 2.50e+00 with ll=-4044244.62
Final parameters: pi=0.0083, mu=20.5548, theta=2.4973
Estimated global theta: 2.4973
(Estimated global pi: 0.0083, mu: 20.5548)
Using global theta: 2.4973 for all window sizes and thresholds.
Using 4 workers to process 4 window sizes in parallel
