dataset_id,window_size,tolerance_type,tolerance_value,auc
5,50,half_window,25,0.44071585961738635
5,80,half_window,40,0.5456735134473387
5,100,half_window,50,0.5714968566085503
5,150,half_window,75,0.5887422122916395
5,200,half_window,100,0.5313926421539841
5,10,quarter_window,2,0.009771979031548908
5,20,quarter_window,5,0.05929570607074598
5,30,quarter_window,7,0.12794562696411033
5,50,quarter_window,12,0.15703727370436127
5,80,quarter_window,20,0.2255202641985835
5,100,quarter_window,25,0.23001418639175916
5,150,quarter_window,37,0.20480940016047422
5,200,quarter_window,50,0.22805641876924196
6,10,full_window,10,0.07152597645013153
6,20,full_window,20,0.2479121313294155
6,30,full_window,30,0.4317900242681475
6,50,full_window,50,0.6182375500981337
6,80,full_window,80,0.6993958447621706
6,100,full_window,100,0.7254842893495186
6,150,full_window,150,0.7392643379127254
6,200,full_window,200,0.7134365226561097
6,10,half_window,5,0.03535320771290723
6,20,half_window,10,0.15777841007572574
6,30,half_window,15,0.2851764436853254
6,50,half_window,25,0.4451974770391924
6,80,half_window,40,0.502565917309103
6,100,half_window,50,0.5481169351709376
6,150,half_window,75,0.5851667492565416
6,200,half_window,100,0.5688448698865918
6,10,quarter_window,2,0.010098613396722514
6,20,quarter_window,5,0.06192704363077639
6,30,quarter_window,7,0.10989165323797458
6,50,quarter_window,12,0.14465019743734076
6,80,quarter_window,20,0.18218468757580025
6,100,quarter_window,25,0.18234516131257036
6,150,quarter_window,37,0.20571258968749273
6,200,quarter_window,50,0.20172862237052486
7,10,full_window,10,0.05975526445230337
7,20,full_window,20,0.22078627271735893
7,30,full_window,30,0.4057814349015372
7,50,full_window,50,0.6012461729192428
7,80,full_window,80,0.7006259368021817
7,100,full_window,100,0.7396566467825502
7,150,full_window,150,0.7608675533540741
7,200,full_window,200,0.717532030484592
7,10,half_window,5,0.03124556239696909
7,20,half_window,10,0.13625738571295987
7,30,half_window,15,0.29170736677802356
7,50,half_window,25,0.4305486663785154
7,80,half_window,40,0.5425218759767385
7,100,half_window,50,0.5632927046739467
7,150,half_window,75,0.5989751051218841
7,200,half_window,100,0.5712601992377585
7,10,quarter_window,2,0.0072898923976974376
7,20,quarter_window,5,0.0641601311115162
7,30,quarter_window,7,0.11923881357324952
7,50,quarter_window,12,0.17926579379174856
7,80,quarter_window,20,0.2113154188587053
7,100,quarter_window,25,0.2158529262827832
7,150,quarter_window,37,0.2127637127358915
7,200,quarter_window,50,0.21211073668983765
8,10,full_window,10,0.06721932825515997
8,20,full_window,20,0.2454582555946759
8,30,full_window,30,0.43324189106228705
8,50,full_window,50,0.6203134256906859
8,80,full_window,80,0.7182677240479282
8,100,full_window,100,0.7555195700019307
8,150,full_window,150,0.7378897419241619
8,200,full_window,200,0.6807097775423139
8,10,half_window,5,0.041003480506127135
8,20,half_window,10,0.1586057937343371
8,30,half_window,15,0.29257960800812954
8,50,half_window,25,0.4634516171066568
8,80,half_window,40,0.5679822332929721
8,100,half_window,50,0.5938385481613704
8,150,half_window,75,0.5820295771406825
8,200,half_window,100,0.5514470045567454
8,10,quarter_window,2,0.010946267770177126
8,20,quarter_window,5,0.0662129330026813
8,30,quarter_window,7,0.09484938418009535
8,50,quarter_window,12,0.1548170466871938
8,80,quarter_window,20,0.20489545151930413
8,100,quarter_window,25,0.24249443662755998
8,150,quarter_window,37,0.2052065651116909
8,200,quarter_window,50,0.19255404328349185
9,10,full_window,10,0.06677337281451885
9,20,full_window,20,0.23947746755542865
9,30,full_window,30,0.4110521672689419
9,50,full_window,50,0.6000458318012498
9,80,full_window,80,0.6935507529640118
9,100,full_window,100,0.7272289982854243
9,150,full_window,150,0.7286231268358971
9,200,full_window,200,0.686983733990711
9,10,half_window,5,0.03303443136241591
9,20,half_window,10,0.14770244266946914
9,30,half_window,15,0.2657038665897129
9,50,half_window,25,0.4048868533337542
9,80,half_window,40,0.5359602416322351
9,100,half_window,50,0.5643333105765311
9,150,half_window,75,0.5670300999135514
9,200,half_window,100,0.5423185154337501
9,10,quarter_window,2,0.010384045115509513
9,20,quarter_window,5,0.06842093150260634
9,30,quarter_window,7,0.09644600449020949
9,50,quarter_window,12,0.14069762431598515
9,80,quarter_window,20,0.19175991051429936
9,100,quarter_window,25,0.2044657771980247
9,150,quarter_window,37,0.17925427712906694
9,200,quarter_window,50,0.22305324346356076
10,10,full_window,10,0.06630595809298866
10,20,full_window,20,0.2410630017477994
10,30,full_window,30,0.41236894798076495
10,50,full_window,50,0.5787191078625511
10,80,full_window,80,0.6884083264349854
10,100,full_window,100,0.7189364942383014
10,150,full_window,150,0.7302084425666979
10,200,full_window,200,0.6933418918951025
10,10,half_window,5,0.03605785962601934
10,20,half_window,10,0.15961232822008964
10,30,half_window,15,0.272183074923939
10,50,half_window,25,0.3697785793593069
10,80,half_window,40,0.5288662866177566
10,100,half_window,50,0.5348470475165686
10,150,half_window,75,0.570948809807145
10,200,half_window,100,0.5378694243056441
10,10,quarter_window,2,0.009017752232649848
10,20,quarter_window,5,0.05897536231376431
10,30,quarter_window,7,0.09129289322563708
10,50,quarter_window,12,0.13688496453863686
10,80,quarter_window,20,0.2007649145452014
10,100,quarter_window,25,0.19356370658487984
10,150,quarter_window,37,0.23087023835720172
10,200,quarter_window,50,0.2049532837013916
