filename,pi,mu,theta,sample_size
zinb_pi0.5_mu20_theta100.csv,0.5,20,100.0,1000
zinb_pi0.5_mu20_theta200.csv,0.5,20,200.0,1000
zinb_pi0.5_mu50_theta0.01.csv,0.5,50,0.01,1000
zinb_pi0.5_mu50_theta0.1.csv,0.5,50,0.1,1000
zinb_pi0.5_mu50_theta1.csv,0.5,50,1.0,1000
zinb_pi0.5_mu50_theta5.csv,0.5,50,5.0,1000
zinb_pi0.5_mu50_theta10.csv,0.5,50,10.0,1000
zinb_pi0.5_mu50_theta50.csv,0.5,50,50.0,1000
zinb_pi0.5_mu50_theta75.csv,0.5,50,75.0,1000
zinb_pi0.5_mu50_theta100.csv,0.5,50,100.0,1000
zinb_pi0.5_mu50_theta200.csv,0.5,50,200.0,1000
zinb_pi0.7_mu1_theta0.01.csv,0.7,1,0.01,1000
zinb_pi0.7_mu1_theta0.1.csv,0.7,1,0.1,1000
zinb_pi0.7_mu1_theta1.csv,0.7,1,1.0,1000
zinb_pi0.7_mu1_theta5.csv,0.7,1,5.0,1000
zinb_pi0.7_mu1_theta10.csv,0.7,1,10.0,1000
zinb_pi0.7_mu1_theta50.csv,0.7,1,50.0,1000
zinb_pi0.7_mu1_theta75.csv,0.7,1,75.0,1000
zinb_pi0.7_mu1_theta100.csv,0.7,1,100.0,1000
zinb_pi0.7_mu1_theta200.csv,0.7,1,200.0,1000
zinb_pi0.7_mu2_theta0.01.csv,0.7,2,0.01,1000
zinb_pi0.7_mu2_theta0.1.csv,0.7,2,0.1,1000
zinb_pi0.7_mu2_theta1.csv,0.7,2,1.0,1000
zinb_pi0.7_mu2_theta5.csv,0.7,2,5.0,1000
zinb_pi0.7_mu2_theta10.csv,0.7,2,10.0,1000
zinb_pi0.7_mu2_theta50.csv,0.7,2,50.0,1000
zinb_pi0.7_mu2_theta75.csv,0.7,2,75.0,1000
zinb_pi0.7_mu2_theta100.csv,0.7,2,100.0,1000
zinb_pi0.7_mu2_theta200.csv,0.7,2,200.0,1000
zinb_pi0.7_mu3_theta0.01.csv,0.7,3,0.01,1000
zinb_pi0.7_mu3_theta0.1.csv,0.7,3,0.1,1000
zinb_pi0.7_mu3_theta1.csv,0.7,3,1.0,1000
zinb_pi0.7_mu3_theta5.csv,0.7,3,5.0,1000
zinb_pi0.7_mu3_theta10.csv,0.7,3,10.0,1000
zinb_pi0.7_mu3_theta50.csv,0.7,3,50.0,1000
zinb_pi0.7_mu3_theta75.csv,0.7,3,75.0,1000
zinb_pi0.7_mu3_theta100.csv,0.7,3,100.0,1000
zinb_pi0.7_mu3_theta200.csv,0.7,3,200.0,1000
zinb_pi0.7_mu4_theta0.01.csv,0.7,4,0.01,1000
zinb_pi0.7_mu4_theta0.1.csv,0.7,4,0.1,1000
zinb_pi0.7_mu4_theta1.csv,0.7,4,1.0,1000
zinb_pi0.7_mu4_theta5.csv,0.7,4,5.0,1000
zinb_pi0.7_mu4_theta10.csv,0.7,4,10.0,1000
zinb_pi0.7_mu4_theta50.csv,0.7,4,50.0,1000
zinb_pi0.7_mu4_theta75.csv,0.7,4,75.0,1000
zinb_pi0.7_mu4_theta100.csv,0.7,4,100.0,1000
zinb_pi0.7_mu4_theta200.csv,0.7,4,200.0,1000
zinb_pi0.7_mu5_theta0.01.csv,0.7,5,0.01,1000
zinb_pi0.7_mu5_theta0.1.csv,0.7,5,0.1,1000
zinb_pi0.7_mu5_theta1.csv,0.7,5,1.0,1000
zinb_pi0.7_mu5_theta5.csv,0.7,5,5.0,1000
zinb_pi0.7_mu5_theta10.csv,0.7,5,10.0,1000
zinb_pi0.7_mu5_theta50.csv,0.7,5,50.0,1000
zinb_pi0.7_mu5_theta75.csv,0.7,5,75.0,1000
zinb_pi0.7_mu5_theta100.csv,0.7,5,100.0,1000
zinb_pi0.7_mu5_theta200.csv,0.7,5,200.0,1000
zinb_pi0.7_mu10_theta0.01.csv,0.7,10,0.01,1000
zinb_pi0.7_mu10_theta0.1.csv,0.7,10,0.1,1000
zinb_pi0.7_mu10_theta1.csv,0.7,10,1.0,1000
zinb_pi0.7_mu10_theta5.csv,0.7,10,5.0,1000
zinb_pi0.7_mu10_theta10.csv,0.7,10,10.0,1000
zinb_pi0.7_mu10_theta50.csv,0.7,10,50.0,1000
zinb_pi0.7_mu10_theta75.csv,0.7,10,75.0,1000
zinb_pi0.7_mu10_theta100.csv,0.7,10,100.0,1000
zinb_pi0.7_mu10_theta200.csv,0.7,10,200.0,1000
zinb_pi0.7_mu20_theta0.01.csv,0.7,20,0.01,1000
zinb_pi0.7_mu20_theta0.1.csv,0.7,20,0.1,1000
zinb_pi0.7_mu20_theta1.csv,0.7,20,1.0,1000
zinb_pi0.7_mu20_theta5.csv,0.7,20,5.0,1000
zinb_pi0.7_mu20_theta10.csv,0.7,20,10.0,1000
zinb_pi0.7_mu20_theta50.csv,0.7,20,50.0,1000
zinb_pi0.7_mu20_theta75.csv,0.7,20,75.0,1000
zinb_pi0.7_mu20_theta100.csv,0.7,20,100.0,1000
zinb_pi0.7_mu20_theta200.csv,0.7,20,200.0,1000
zinb_pi0.7_mu50_theta0.01.csv,0.7,50,0.01,1000
zinb_pi0.7_mu50_theta0.1.csv,0.7,50,0.1,1000
zinb_pi0.7_mu50_theta1.csv,0.7,50,1.0,1000
zinb_pi0.7_mu50_theta5.csv,0.7,50,5.0,1000
zinb_pi0.7_mu50_theta10.csv,0.7,50,10.0,1000
zinb_pi0.7_mu50_theta50.csv,0.7,50,50.0,1000
zinb_pi0.7_mu50_theta75.csv,0.7,50,75.0,1000
zinb_pi0.7_mu50_theta100.csv,0.7,50,100.0,1000
zinb_pi0.7_mu50_theta200.csv,0.7,50,200.0,1000
zinb_pi0.9_mu1_theta0.01.csv,0.9,1,0.01,1000
zinb_pi0.9_mu1_theta0.1.csv,0.9,1,0.1,1000
zinb_pi0.9_mu1_theta1.csv,0.9,1,1.0,1000
zinb_pi0.9_mu1_theta5.csv,0.9,1,5.0,1000
zinb_pi0.9_mu1_theta10.csv,0.9,1,10.0,1000
zinb_pi0.9_mu1_theta50.csv,0.9,1,50.0,1000
zinb_pi0.9_mu1_theta75.csv,0.9,1,75.0,1000
zinb_pi0.9_mu1_theta100.csv,0.9,1,100.0,1000
zinb_pi0.9_mu1_theta200.csv,0.9,1,200.0,1000
zinb_pi0.9_mu2_theta0.01.csv,0.9,2,0.01,1000
zinb_pi0.9_mu2_theta0.1.csv,0.9,2,0.1,1000
zinb_pi0.9_mu2_theta1.csv,0.9,2,1.0,1000
zinb_pi0.9_mu2_theta5.csv,0.9,2,5.0,1000
zinb_pi0.9_mu2_theta10.csv,0.9,2,10.0,1000
zinb_pi0.9_mu2_theta50.csv,0.9,2,50.0,1000
zinb_pi0.9_mu2_theta75.csv,0.9,2,75.0,1000
zinb_pi0.9_mu2_theta100.csv,0.9,2,100.0,1000
zinb_pi0.9_mu2_theta200.csv,0.9,2,200.0,1000
zinb_pi0.9_mu3_theta0.01.csv,0.9,3,0.01,1000
zinb_pi0.9_mu3_theta0.1.csv,0.9,3,0.1,1000
zinb_pi0.9_mu3_theta1.csv,0.9,3,1.0,1000
zinb_pi0.9_mu3_theta5.csv,0.9,3,5.0,1000
zinb_pi0.9_mu3_theta10.csv,0.9,3,10.0,1000
zinb_pi0.9_mu3_theta50.csv,0.9,3,50.0,1000
zinb_pi0.9_mu3_theta75.csv,0.9,3,75.0,1000
zinb_pi0.9_mu3_theta100.csv,0.9,3,100.0,1000
zinb_pi0.9_mu3_theta200.csv,0.9,3,200.0,1000
zinb_pi0.9_mu4_theta0.01.csv,0.9,4,0.01,1000
zinb_pi0.9_mu4_theta0.1.csv,0.9,4,0.1,1000
zinb_pi0.9_mu4_theta1.csv,0.9,4,1.0,1000
zinb_pi0.9_mu4_theta5.csv,0.9,4,5.0,1000
zinb_pi0.9_mu4_theta10.csv,0.9,4,10.0,1000
zinb_pi0.9_mu4_theta50.csv,0.9,4,50.0,1000
zinb_pi0.9_mu4_theta75.csv,0.9,4,75.0,1000
zinb_pi0.9_mu4_theta100.csv,0.9,4,100.0,1000
zinb_pi0.9_mu4_theta200.csv,0.9,4,200.0,1000
zinb_pi0.9_mu5_theta0.01.csv,0.9,5,0.01,1000
zinb_pi0.9_mu5_theta0.1.csv,0.9,5,0.1,1000
zinb_pi0.9_mu5_theta1.csv,0.9,5,1.0,1000
zinb_pi0.9_mu5_theta5.csv,0.9,5,5.0,1000
zinb_pi0.9_mu5_theta10.csv,0.9,5,10.0,1000
zinb_pi0.9_mu5_theta50.csv,0.9,5,50.0,1000
zinb_pi0.9_mu5_theta75.csv,0.9,5,75.0,1000
zinb_pi0.9_mu5_theta100.csv,0.9,5,100.0,1000
zinb_pi0.9_mu5_theta200.csv,0.9,5,200.0,1000
zinb_pi0.9_mu10_theta0.01.csv,0.9,10,0.01,1000
zinb_pi0.9_mu10_theta0.1.csv,0.9,10,0.1,1000
zinb_pi0.9_mu10_theta1.csv,0.9,10,1.0,1000
zinb_pi0.9_mu10_theta5.csv,0.9,10,5.0,1000
zinb_pi0.9_mu10_theta10.csv,0.9,10,10.0,1000
zinb_pi0.9_mu10_theta50.csv,0.9,10,50.0,1000
zinb_pi0.9_mu10_theta75.csv,0.9,10,75.0,1000
zinb_pi0.9_mu10_theta100.csv,0.9,10,100.0,1000
zinb_pi0.9_mu10_theta200.csv,0.9,10,200.0,1000
zinb_pi0.9_mu20_theta0.01.csv,0.9,20,0.01,1000
zinb_pi0.9_mu20_theta0.1.csv,0.9,20,0.1,1000
zinb_pi0.9_mu20_theta1.csv,0.9,20,1.0,1000
zinb_pi0.9_mu20_theta5.csv,0.9,20,5.0,1000
zinb_pi0.9_mu20_theta10.csv,0.9,20,10.0,1000
zinb_pi0.9_mu20_theta50.csv,0.9,20,50.0,1000
zinb_pi0.9_mu20_theta75.csv,0.9,20,75.0,1000
zinb_pi0.9_mu20_theta100.csv,0.9,20,100.0,1000
zinb_pi0.9_mu20_theta200.csv,0.9,20,200.0,1000
zinb_pi0.9_mu50_theta0.01.csv,0.9,50,0.01,1000
zinb_pi0.9_mu50_theta0.1.csv,0.9,50,0.1,1000
zinb_pi0.9_mu50_theta1.csv,0.9,50,1.0,1000
zinb_pi0.9_mu50_theta5.csv,0.9,50,5.0,1000
zinb_pi0.9_mu50_theta10.csv,0.9,50,10.0,1000
zinb_pi0.9_mu50_theta50.csv,0.9,50,50.0,1000
zinb_pi0.9_mu50_theta75.csv,0.9,50,75.0,1000
zinb_pi0.9_mu50_theta100.csv,0.9,50,100.0,1000
zinb_pi0.9_mu50_theta200.csv,0.9,50,200.0,1000
